¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Æ(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.30103
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.61847
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.56835
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.80474
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.4197
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.73641
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.37304
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.91732
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.72321
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.073541
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.513193
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.017433
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.600765
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80837
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94736
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12436
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49825
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90009
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29979
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.16986
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.82148
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.66162
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.048
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.60478
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.83977
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.6191
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.43129
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.41122
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.67876
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.70147
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.088347
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.531328
¨(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.037868
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.627444
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.33646
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.71398
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30486
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69194
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10825
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4985
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.26963
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.95506
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.83313
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.19459
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.93806
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.99491
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.05483
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.36677
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.5747
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.71459
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.73268
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.16783
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.102646
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.548857
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.057623
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.653215
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.35465
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.69067
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.05094
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89258
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91729
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.81622
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.36859
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.08928
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.95331
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.155
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.97656
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.94992
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.92603
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.59587
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.61938
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.64573
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.67494
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.70705
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.74206
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.75637
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.116418
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.565759
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.07668
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.678049
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.35882
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.69514
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.05573
±(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.52663
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.09659
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.89811
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.46662
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.22406
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.07338
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.17283
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.02016
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.99348
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.96956
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.80906
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.59485
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.38818
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.18874
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.23526
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.33259
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.43317
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.12539
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.129663
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.582031
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.095028
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.701929
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.36329
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.69992
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.06085
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.55783
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.13106
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.97916
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.56368
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.3337
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.19335
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.21689
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.06665
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.03993
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.01598
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.49075
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.32672
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.16836
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.09431
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.18736
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.28413
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.3815
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.47844
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.142369
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.59766
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.112658
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.724842
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.36805
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.70501
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.06632
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.58912
½(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.20711
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.05927
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.65986
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.42181
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.31312
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.2915
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.11607
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.0893
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.06532
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.4738
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.31004
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.15735
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.04975
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.14229
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.23853
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.33276
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.42915
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.92428
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.154531
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.612638
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.129557
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.746766
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37311
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.71042
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.07212
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.62051
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.4879
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13847
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.75489
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.50884
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.43255
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.79151
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.16844
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.14164
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.11762
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.45987
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.29953
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.14924
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.00794
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.10001
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.19472
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.2869
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.38277
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.48243
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.8345
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.166143
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.626952
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.145712
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.767682
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37845
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.71614
Æ(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.07825
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.65199
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.77538
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.2166
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.84873
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.59483
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.38304
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.34652
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.9431
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.91452
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.61804
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.44972
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.29422
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.144
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.9989
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.06048
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.15219
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.2439
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.33929
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.43845
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.73492
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.177197
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.6406
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.161115
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.787573
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.38409
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72218
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.11507
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.68356
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.05986
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.29371
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.94143
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.48778
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.43758
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.62174
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.74171
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.86607
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.60996
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.44729
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.29183
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.14165
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.99659
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.02368
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.11245
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.20372
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.29866
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.39735
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.49989
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.187691
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.653571
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.175756
