¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
á(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.373438
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.581452
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.892694
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.222784
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.608252
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.032466
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.538342
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.623834
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.20895
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.26366
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.88912
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.56782
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.81042
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.95773
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.941886
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.083052
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.233749
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.3949
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.55405
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.718098
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.893065
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.079977
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.280157
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.494917
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.725984
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.975108
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.244552
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.536843
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.838321
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.13366
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.530927
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.947188
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.410446
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.82381
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.02817
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.02626
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.46791
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.90501
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.07195
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.30961
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.926088
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.066255
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.215433
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.375287
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.530922
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.693495
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.86683
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.051998
ç(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.250174
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.46278
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.691393
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.937849
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.204292
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.493136
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.78524
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.046844
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.451938
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.864098
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.315659
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.988426
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11191
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.79903
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.13754
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.35242
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.91177
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.76098
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.910481
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.049685
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.197814
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.355721
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.508189
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.669326
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.841093
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.024499
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.220761
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.431236
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.657486
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.90133
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.164778
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.450317
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.733437
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.988328
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.358483
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.78306
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.226061
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.837786
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.30526
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58135
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.82614
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.84242
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.14352
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.14357
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.895097
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.03334
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.180433
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.336887
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.485861
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.645583
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.815784
ë(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.997493
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.191907
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.400282
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.624259
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.865498
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.126088
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.408383
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.682952
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.934329
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.267502
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.696657
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.13879
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.692017
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47302
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.6004
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.53059
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.33559
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.37491
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.37407
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.879934
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.017252
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.163312
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.318083
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.467217
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.622259
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.790962
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.971014
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.163581
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.36996
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.591649
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.830398
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.088163
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.367317
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.633718
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.881702
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.178941
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.598513
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.053777
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.55092
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30821
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.76467
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.24978
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.90219
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.65969
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.54083
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.77349
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.864981
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.001376
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.146421
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.299611
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.451355
ê(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.600325
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.766583
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.945004
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.135771
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.340161
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.559698
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.795973
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.051005
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.327084
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.58564
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.830388
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.09271
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.503105
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.958763
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.434622
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14897
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.991
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.09589
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.52034
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.02173
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.68819
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.21325
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.850255
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.985742
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.129771
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.28142
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.435791
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.583822
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.742647
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.919477
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.108531
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.310992
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.528353
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.762257
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.014623
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.287711
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.538787
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.780353
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.039196
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.410247
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.855578
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.345219
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.995056
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82877
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.22814
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.16074
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.44042
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.89454
