¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¼(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.01296
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.5137
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.50914
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.5063
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.447
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.62326
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.825384
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.041352
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.302327
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.692709
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.128478
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.529707
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.945734
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.318218
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.720951
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.278
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93633
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45976
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.78918
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.76498
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.74263
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.7221
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.70339
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.68649
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.67137
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.65803
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.64645
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.63664
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.62857
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.62225
®(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.61767
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.61483
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.55499
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.641146
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.844514
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.061749
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.331098
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.724743
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.162957
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.541952
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.959254
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.355637
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.761827
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33784
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96413
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48455
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.90291
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.8785
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.85595
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.83526
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.81639
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.79935
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.78411
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.77066
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.759
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.74911
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.741
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.73464
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.73004
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.72719
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.6668
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.659252
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.8638
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.0824
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.359709
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.756688
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.174031
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.554127
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.97273
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.393534
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.803185
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39803
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99209
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51007
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96295
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.99603
