¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
”(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.003747
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.648564
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.810493
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.99018
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.207736
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.442687
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.65967
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.91119
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.210156
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.521701
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.834702
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.238558
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.670957
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.127664
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.680628
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.34519
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.10808
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17687
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84097
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.94315
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.52771
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 17.52967
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 17.52903
»(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 17.53102
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 17.53562
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 17.54284
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 17.55269
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.22195
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.23736
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.25552
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.27645
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.460713
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.637973
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.799208
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.976738
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.193244
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.427022
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.640981
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.890864
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.187966
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.493104
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.805479
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.206162
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.627151
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.083058
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.628946
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.28606
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.02951
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.941
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68093
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.73941
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.49366
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 17.65753
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 17.65702
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 17.65915
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 17.66391
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 17.67132
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 17.68138
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.35054
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.36619
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.38461
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.40582
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.450904
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.627472
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.788163
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.963418
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.178888
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.411505
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.622656
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.870741
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.166005
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.465026
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.776558
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.174117
–(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.584124
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.038995
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.577899
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.22771
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.95233
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.85762
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.50679
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.53942
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.27791
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.04664
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.34892
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.35128
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.48373
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.49964
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.51833
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 20.42
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.441178
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.61706
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.777357
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.950222
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.164668
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.396139
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.604693
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.850825
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.144271
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.437462
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.747943
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.14242
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.541866
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.995464
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.527475
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.17011
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.87809
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.77546
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33583
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.34306
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.06604
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.10658
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.49044
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.49296
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 20.51014
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 20.52793
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 20.54883
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 20.57285
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.431536
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.606741
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.766789
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.93715
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.150582
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.380921
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.587088
€(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.831112
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.122766
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.410404
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.71963
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.111072
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.500367
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.952466
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.477677
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11327
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.80908
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.69449
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17758
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.16277
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.85794
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.1672
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.63695
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.63964
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 20.66745
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 20.68555
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 20.70677
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 20.73114
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.421979
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.596514
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.756459
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.924201
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.136634
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.365853
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.56984
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.811604
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.101493
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.383852
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.691621
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.080071
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.459615
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.909999
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.4285
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.05718
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.74101
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.6147
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02376
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.98747
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.67789
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.83462
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.7886
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.79148
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 20.87029
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.412508
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.58638
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.746366
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.91138
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.122825
µ(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.350939
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.552947
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.792302
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.080447
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.357797
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.663914
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.049417
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.419603
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.868059
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.379939
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.00183
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.67385
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.53608
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.57756
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.81538
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.46213
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.29045
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.403124
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.576339
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.736509
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.898684
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.109153
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.336178
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.536405
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.773206
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.059633
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.332236
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.636512
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.019112
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.380322
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.826644
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.331991
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.947211
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60762
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.45862
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.48566
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.64632
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.1841
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.30255
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.393826
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.566392
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.726886
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.886116
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.095619
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.321568
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.520213
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.754314
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.039046
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.307166
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.609412
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.989151
¯(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.341758
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.785748
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.284651
