¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ğ(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.934391
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.892994
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.235366
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.217365
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.200613
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.228469
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.257513
é(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.287773
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.319274
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.352046
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.443139
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.555172
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.672185
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.349486
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.370908
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.393201
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.416385
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.440481
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.465513
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.491501
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.559021
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.658436
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.763011
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.22202
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.203086
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.185188
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.194379
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.222164
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.251136
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.28132
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.312746
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.371093
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.479697
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.593069
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.324277
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.34534
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.367265
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.39007
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.413777
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.438408
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.463984
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.542263
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.640884
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.744606
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.190889
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.17206
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.162423
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.188984
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.216709
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.245618
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.275739
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.307098
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.407562
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.517481
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.632244
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.299843
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.32056
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.34213
è(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.364572
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.387904
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.412148
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.437329
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.525961
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.623813
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.726712
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.160988
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.142259
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.157916
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.184428
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.212101
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.240957
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.271024
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.338591
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.445231
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.556516
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.276163
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.296548
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.317778
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.339868
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.362841
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.386716
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.417657
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.510111
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.607217
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.709317
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.13229
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.128901
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.154234
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.180707
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.208336
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.23715
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.272623
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.376148
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.484132
(337.94, 7.59, 333.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.68186
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.253224
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.27329
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.294191
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.315945
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.338571
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.36209
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.402925
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.494704
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.59109
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.692417
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.10477
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.126072
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.151375
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.177815
ß(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.205414
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.234194
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.310069
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.414916
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.524294
(337.94, 7.59, 333.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.71239
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.231008
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.250767
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.271352
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.292782
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.315075
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.338251
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.388611
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.479736
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.575425
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.676004
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.099888
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.124056
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.149338
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.175754
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.20333
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.246842
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.348703
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.454921
(337.94, 7.59, 333.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.29087
(337.94, 7.59, 333.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.74267
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.209499
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.228963
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.249245
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.270364
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.292336
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.315184
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.374708
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.465203
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.560216
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.660072
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.098695
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.122851
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.148119
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.174522
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.202084
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.285347
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.388556
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.496198
(337.94, 7.59, 333.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.31378
(337.94, 7.59, 333.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.77276
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.188682
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.207863
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.227854
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.248672
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.270338
Ô(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.292869
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.361213
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.451098
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.545458
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.644615
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.098304
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.122456
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.147719
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.174118
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.224702
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.325049
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.429659
(337.94, 7.59, 333.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.55626
(337.94, 7.59, 333.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.33652
(337.94, 7.59, 333.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.80267
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.168545
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.187452
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.207163
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.227694
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.249064
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.271291
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.348121
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.437415
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.531144
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.075651
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.098714
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.122869
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.148137
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.174541
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.264257
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.365981
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.472044
(337.94, 7.59, 333.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.57483
(337.94, 7.59, 333.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.35909
(337.94, 7.59, 333.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.83234
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.149072
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.167717
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.187159
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.207414
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.2285
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.250815
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.335427
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.42415
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.517271
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.076849
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.099925
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.124093
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.149375
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.206047
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.30502
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.408172
