¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¨(338.91, 6.88, 312.53) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 9.597088
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.64519
(338.91, 6.88, 312.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 17.58381
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.05649
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.06964
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.22592
(338.91, 6.88, 312.53) (328.31, 1.25, 344.92) (1.46, 2.50, 0.44) Cabin 17.50977
(338.91, 6.88, 312.53) (328.31, 1.25, 344.92) (1.46, 2.50, 0.44) Cabin 17.50091
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.592232
(338.91, 6.88, 312.53) (328.31, 1.25, 344.92) (1.46, 2.50, 0.44) Cabin 17.50325
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.574021
(338.91, 6.88, 312.53) (328.62, 2.56, 346.07) (2.10, 0.13, 2.78) Cabin 17.45463
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.541987
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.780334
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.017646
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.273273
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.549415
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.848553
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.330889
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.747854
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.210188
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.72562
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30381
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95331
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64899
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46313
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44048
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.428
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.619986
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.6727
(338.91, 6.88, 312.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 17.44189
(338.91, 6.88, 312.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 17.42256
(338.91, 6.88, 312.53) (328.31, 1.25, 344.92) (1.46, 2.50, 0.44) Cabin 17.40586
(338.91, 6.88, 312.53) (328.31, 1.25, 344.92) (1.46, 2.50, 0.44) Cabin 17.39179
µ(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.40216
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.556992
(338.91, 6.88, 312.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 17.36524
(338.91, 6.88, 312.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 17.36158
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.535252
(338.91, 6.88, 312.53) (328.62, 2.56, 346.07) (2.10, 0.13, 2.78) Cabin 17.31324
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.542063
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.786425
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.0421
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.299636
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.577937
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.879519
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.33924
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.757086
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.220413
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.737088
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3167
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97106
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 11.04331
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 11.02085
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 11.00013
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.98112
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.623049
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.81876
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.93422
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.92193
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.9113
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.90231
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.524898
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.519903
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.79544
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.83635
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.498205
(338.91, 6.88, 312.53) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 10.88266
(338.91, 6.88, 312.53) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 10.88508
(338.91, 6.88, 312.53) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 10.88912
(338.91, 6.88, 312.53) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 10.8948
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.542107
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.786462
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.050933
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.326244
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.606695
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.910728
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.34744
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.766134
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.230525
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.748386
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32941
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98588
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68921
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.8093
²(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.64147
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.7443
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.625763
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.9363
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 17.17237
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.92531
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.720927
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 17.12272
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.489492
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 17.10252
(338.91, 6.88, 312.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 17.09626
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 17.09256
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.462851
(338.91, 6.88, 312.53) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 17.04472
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.542079
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.786464
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.0509
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.337927
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.635715
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.942224
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.355565
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.775142
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.240498
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.759577
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34204
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00016
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70924
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.774549
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67288
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.90756
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.1358
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.8975
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 17.04446
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.88652
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 17.00894
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.46217
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 16.98369
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 16.97489
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 16.96863
(338.91, 6.88, 312.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.9649
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.429158
(338.91, 6.88, 312.53) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 16.91733
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.541973
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.786368
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.050781
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.337805
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.650373
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.974009
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.363571
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.783974
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.250392
¶(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.770572
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35447
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01426
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72922
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.744469
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70383
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.483231
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.31376
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.86058
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 16.92095
(338.91, 6.88, 312.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.90199
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.437872
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 16.87174
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 16.86043
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 16.85164
(338.91, 6.88, 312.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.84538
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 16.84163
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.397101
(338.91, 6.88, 312.53) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 16.79431
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.54184
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.78619
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.050611
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.33761
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.650156
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.99177
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.371481
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.792753
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.260086
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.781491
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3667
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02819
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74911
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.71749
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73428
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.452634
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.49416
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.82551
(338.91, 6.88, 312.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.80169
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.416581
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.442816
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.795
(338.91, 6.88, 312.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.74141
(338.91, 6.88, 312.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.73264
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 16.72638
(338.91, 6.88, 312.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.72261
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.366654
(338.91, 6.88, 312.53) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 16.67553
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.541636
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.785943
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.050361
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.337344
·(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.649872
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.99146
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.376561
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.801388
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.269683
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.792219
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37882
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04194
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76896
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64264
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76414
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.423628
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.67876
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.79226
(338.91, 6.88, 312.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.68657
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.387645
(338.91, 6.88, 312.53) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.65152
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.81092
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 16.62653
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 16.61777
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 16.61151
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 16.60773
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.337791
(338.91, 6.88, 312.53) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 16.56088
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.541349
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.785655
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.050047
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.33702
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.649477
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.991033
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.376969
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.807404
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.279158
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.802824
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39074
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05545
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78876
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.67224
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79352
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.39619
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 16.62045
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.76082
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.370871
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 16.55675
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 16.54056
(338.91, 6.88, 312.53) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 16.52686
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.72308
