¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¶(325.85, 7.56, 366.67) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.05693
(325.85, 7.56, 366.67) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.72442
(325.85, 7.56, 366.67) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.70761
(325.85, 7.56, 366.67) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.69318
(325.85, 7.56, 366.67) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.68111
(325.85, 7.56, 366.67) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.6714
(325.85, 7.56, 366.67) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.66404
(325.85, 7.56, 366.67) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.65902
(325.85, 7.56, 366.67) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.65634
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.953471
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.145069
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.350364
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.570849
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.808287
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.064593
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.342112
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.6435
’(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.971924
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.331191
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.72568
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.150199
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.420237
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.708159
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0158
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36532
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87902
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43157
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03789
(325.85, 7.56, 366.67) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.18664
(325.85, 7.56, 366.67) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.16033
(325.85, 7.56, 366.67) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.13594
(325.85, 7.56, 366.67) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.40723
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.3658
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.954954
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.146657
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.352081
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.572696
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.810255
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.066723
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.34443
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.646061
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.974706
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.334205
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.728997
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.143592
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.413209
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.700665
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00779
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43024
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95069
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50686
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12157
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72773
(325.85, 7.56, 366.67) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 12.87726
(325.85, 7.56, 366.67) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 12.85485
(325.85, 7.56, 366.67) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 12.83444
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.39023
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.956517
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.148297
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.353834
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.574607
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.81235
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.068964
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.346831
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.648669
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.97757
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.337364
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.732458
³(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.137617
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.406855
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.693924
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01871
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49652
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02267
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58387
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20719
(325.85, 7.56, 366.67) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.41991
(325.85, 7.56, 366.67) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.45823
(325.85, 7.56, 366.67) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.56439
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.50491
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.48786
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.473
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.46033
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.44984
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.44151
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.43536
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.43135
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.958117
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.150027
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.355693
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.576606
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.814485
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.071283
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.349352
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.65137
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.980533
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.340604
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.736038
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.132311
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.401178
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.687904
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08018
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56418
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09382
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66257
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24239
(325.85, 7.56, 366.67) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.22021
(325.85, 7.56, 366.67) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.30288
(325.85, 7.56, 366.67) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.40621
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.43891
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.42195
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.40718
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.39458
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.38416
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.37589
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.36977
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.36581
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.959774
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.151785
¨(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.357618
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.578638
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.816659
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.073684
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.351965
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.654217
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.983619
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.343997
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.739763
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.127628
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.396234
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.697191
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14291
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63321
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16647
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74307
(325.85, 7.56, 366.67) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.19848
(325.85, 7.56, 366.67) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.0558
(325.85, 7.56, 366.67) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.15301
(325.85, 7.56, 366.67) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.32533
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.37565
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.35878
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.34409
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.33157
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.3212
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.31298
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.30691
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.30298
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.961494
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.153665
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.35958
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.580769
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.818993
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.076159
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.354641
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.657139
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.986802
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.347477
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.743602
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.123569
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.391922
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.755553
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20688
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7037
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24074
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79818
(325.85, 7.56, 366.67) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.01003
(325.85, 7.56, 366.67) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 11.91364
(325.85, 7.56, 366.67) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.00837
(325.85, 7.56, 366.67) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.33713
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.31506
­(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.29828
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.28367
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.27122
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.26091
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.25275
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.24672
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.24282
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.963273
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.15555
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.361633
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.582975
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.821344
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.078723
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.35741
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.660143
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.990119
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.351086
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.747568
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.120159
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.398184
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.815022
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27218
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77565
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31663
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81137
(325.85, 7.56, 366.67) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 11.98899
(325.85, 7.56, 366.67) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 11.96586
(325.85, 7.56, 366.67) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 11.9446
(325.85, 7.56, 366.67) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.34934
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.25711
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.24042
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.22588
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.21349
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.20324
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.19512
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.18913
(325.85, 7.56, 366.67) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.18527
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.965125
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.157529
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.363724
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.585242
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.823802
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.081372
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.360285
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.663293
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.993534
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.354821
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.751688
