¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ö(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.817641
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.51769
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.37135
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.37047
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.59657
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.96443
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.66139
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.74317
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.97828
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.949146
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.156621
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.378062
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.616357
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.875598
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.162208
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.474915
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.817397
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.194008
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.609952
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.057086
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.55386
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11423
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.76913
ë(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.51965
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.37179
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.37099
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.61035
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.96539
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.6599
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.74828
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.47148
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.949269
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.156754
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.377796
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.616069
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.875486
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.162087
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.474782
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.817252
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.193829
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.609754
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.056473
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.553174
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11559
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.7708
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.52157
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.3722
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.37147
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.6241
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.9663
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.65838
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.75338
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.48756
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.949391
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.156735
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.377536
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.615791
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.875365
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.161955
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.474637
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.817091
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.193633
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.609539
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.055884
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.552516
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11694
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.77243
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.52343
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.37256
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.3719
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.63783
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.96715
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.65682
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.75846
è(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.5013
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.949513
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.156503
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.377286
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.61552
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.875231
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.161808
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.474478
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.816917
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.193422
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.609052
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.055318
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.551886
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11825
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.77402
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.52526
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.37288
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.37227
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.65154
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.96795
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.65524
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.76352
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.51584
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.949633
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.15628
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.377047
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.61526
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.875088
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.16165
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.474308
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.816729
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.193197
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.608564
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.054779
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.551283
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11955
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.77557
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.52704
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.37317
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.37261
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.6652
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.9687
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.65361
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.76856
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.53039
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.949751
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.156064
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.376814
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.615009
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.87493
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.16148
ì(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.47412
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.816525
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.192954
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.608099
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.054262
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.550708
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12082
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.77708
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.52877
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.37341
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.37289
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.67884
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.96939
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.65195
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.77358
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.54495
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.949869
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.155856
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.37659
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.614767
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.874764
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.1613
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.473922
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.816306
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.192698
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.607657
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.05377
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.550159
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12206
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.77856
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.53012
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.37361
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.38668
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.69244
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.97002
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.65026
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.77858
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.55953
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.949984
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.155656
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.376375
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.614536
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.874587
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.161105
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.473711
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.816073
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.192425
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.607236
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.053305
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.549638
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12328
é(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.77998
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.53016
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.37377
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.4019
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.70599
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.9706
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.64853
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.78355
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.5741
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.950098
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.155465
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.376168
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.614312
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.874396
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.1609
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.473485
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.815815
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.192137
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.606839
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.052863
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.549147
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12447
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.78137
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.5302
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.37389
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.41658
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.71951
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.97112
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.64676
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.7885
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.58868
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.95021
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.155282
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.375971
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.614099
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.874195
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.160682
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.473246
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.815541
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.191833
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.606462
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.052444
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.548679
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12563
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.78272
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.53025
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.37397
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.43074
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.73299
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.97159
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.64497
è(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.79343
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.60326
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.950054
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.155107
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.375782
