¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
œ (398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.955208
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.420057
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.395023
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.371517
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.34952
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.329016
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.309988
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.292419
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.276299
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.261618
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.137643
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.35724
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.587088
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.834311
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.101923
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.392496
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.709065
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.055237
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.435268
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.854277
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.318595
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.836541
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41557
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06959
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.353854
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.327597
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.302872
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.279659
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.257939
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.237698
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.218916
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.201584
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.185683
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.171205
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.123549
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.341387
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.569176
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.81496
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.08094
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.369694
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.684191
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.027987
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.405254
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.82256
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.285113
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.79925
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36936
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.291736
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.264254
Ç (398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.238309
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.213882
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.19095
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.169498
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.14951
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.130966
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.113856
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.098166
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.083882
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.85156
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.83072
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.81158
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.109544
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.324877
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.551366
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.795715
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.060101
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.347042
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.659932
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.002684
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.37894
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.793676
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.253006
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.760625
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3236
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.204891
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.177726
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.152082
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.12794
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.105281
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.084085
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.064339
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.046025
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.02913
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.013641
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.999546
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.02472
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.50919
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.48651
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.46548
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.4461
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.42833
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.095541
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.308455
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.533675
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.776594
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.040204
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.326562
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.638331
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.979079
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.352923
á (398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.764961
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.221127
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.722387
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27826
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.12102
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.094157
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.068804
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.044937
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.022537
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.001591
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.982076
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.963984
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.947295
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.931999
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.918086
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.951505
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.14832
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.12706
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.10739
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.0893
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.07278
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.081591
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.29228
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.51714
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.759728
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.022141
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.306893
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.616881
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.955587
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.327154
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.736425
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.189525
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.684572
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23332
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.040011
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.013442
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.988367
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.964765
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.942617
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.921907
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.902618
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.884737
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.868248
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.853138
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.839398
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.879732
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.879881
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.863651
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.84894
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.83574
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.824041
¶ (398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.068928
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.278016
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.501792
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.743092
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.00414
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.287327
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.595576
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.932277
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.301476
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.708152
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.158115
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.647046
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18885
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.961772
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.935483
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.910675
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.887328
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.865422
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.84494
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.825869
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.808189
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.791891
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.776962
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.763388
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.809376
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.647146
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.631601
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.617537
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.604949
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.593821
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.056809
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.263818
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.486486
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.726607
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.986275
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.267906
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.574398
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.909085
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.276042
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.680063
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.126982
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.609979
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1448
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.886201
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.860185
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.835635
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.812533
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 8.79086
