¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Þ(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63381
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77048
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9648
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16798
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38056
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45449
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.94127
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25589
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52469
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80672
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1029
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.91154
(331.28, 7.72, 366.36) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.30277
(331.28, 7.72, 366.36) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.30802
(331.28, 7.72, 366.36) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.31661
(331.28, 7.72, 366.36) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.32853
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.285488
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.460122
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.64961
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.855575
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.078067
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.319117
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.581098
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.86485
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.174032
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.52567
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.924456
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.369191
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.868215
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.444724
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47282
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6534
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84202
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03909
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24518
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46084
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84067
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14332
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40564
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68073
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96948
Ç(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.41479
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.3205
(331.28, 7.72, 366.36) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.52043
(331.28, 7.72, 366.36) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.52582
(331.28, 7.72, 366.36) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.53458
(331.28, 7.72, 366.36) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.54671
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.278371
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.452496
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.64216
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.84754
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.069377
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.309689
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.570836
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.852719
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.160741
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.513906
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.911376
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.354562
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.848365
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.427164
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54128
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72446
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91575
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1157
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32481
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96321
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03582
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29203
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56053
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84227
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1381
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.63678
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.86964
(331.28, 7.72, 366.36) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.5799
(331.28, 7.72, 366.36) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.58539
(331.28, 7.72, 366.36) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.59426
(331.28, 7.72, 366.36) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.60651
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.271311
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.444928
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.634755
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.839555
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.060741
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.300322
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.560007
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.84068
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.147554
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.502178
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.898337
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.339985
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.828124
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.409594
ì(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.08604
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79765
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99176
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19465
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4069
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78725
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18361
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44585
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72088
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00953
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.16183
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86703
(331.28, 7.72, 366.36) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.06067
(331.28, 7.72, 366.36) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.03604
(331.28, 7.72, 366.36) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.01489
(331.28, 7.72, 366.36) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.99722
(331.28, 7.72, 366.36) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.98299
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.264305
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.437778
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.627397
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.831621
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.052163
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.291018
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.549057
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.828732
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.134471
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.490487
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.885343
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.325457
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.808019
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.392011
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.06579
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87308
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07004
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27605
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49988
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84844
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33637
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60505
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88687
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18272
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.38089
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.28801
(331.28, 7.72, 366.36) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.73433
(331.28, 7.72, 366.36) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.71029
(331.28, 7.72, 366.36) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.68968
(331.28, 7.72, 366.36) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.6725
(331.28, 7.72, 366.36) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.65871
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.257353
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.43098
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.620086
¾(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.823738
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.043641
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.281775
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.538192
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.81688
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.123765
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.478834
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.872392
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.310983
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.788587
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.374423
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.04555
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95075
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15075
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35991
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41747
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.015
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.49445
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76976
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05871
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.92586
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.60796
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.84051
(331.28, 7.72, 366.36) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.42039
(331.28, 7.72, 366.36) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.39692
(331.28, 7.72, 366.36) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.37683
(331.28, 7.72, 366.36) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.36011
(331.28, 7.72, 366.36) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.34675
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.250459
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.424226
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.612823
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.815908
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.035177
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.272377
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.527411
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.805122
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.11326
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.467222
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.85949
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.296565
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.77316
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.356832
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.0253
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.69743
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23391
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44639
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47724
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22366
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65796
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94029
(331.28, 7.72, 366.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.32738
