¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Û(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.808624
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.42828
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.579641
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.41305
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.386755
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.459945
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.599482
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.737998
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.71235
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.687893
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.664602
É(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.234067
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.637321
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28714
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86736
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30206
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77488
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.393476
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.381818
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.756114
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.15771
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.39609
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.571525
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.755781
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.796606
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.790532
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.78578
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.570986
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.312427
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.517985
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.243698
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.62309
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.578649
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.81186
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.06324
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.374735
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.35069
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.327767
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.305946
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.285211
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.265542
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.429656
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.834561
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27735
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83704
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2692
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73912
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20089
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.354249
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.343051
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.289303
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.635102
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.821126
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.016716
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.111346
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.105126
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.291797
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.288288
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.410619
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.721657
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.496169
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.82481
©(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.577687
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.810788
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.062081
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.333801
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.628462
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.949028
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.298985
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.682522
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.053293
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.424438
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.828827
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2711
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80746
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23715
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70423
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.19064
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.692412
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.396677
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.307099
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.297894
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.289654
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.282372
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.276042
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.270659
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.29961
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.462631
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.635331
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.939362
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.767993
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.03375
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.576694
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.80969
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.060955
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.332568
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.627108
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.947527
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.29735
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.680758
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.048746
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.419475
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.823416
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2652
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77858
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20586
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67024
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17663
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.100902
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.769576
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.468708
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.365742
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.358644
¬(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.352509
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.347332
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.35217
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.517123
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.691899
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.877361
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.172562
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.061439
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.2671
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.575674
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.808625
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.059764
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.331298
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.625725
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.946027
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.295709
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.67892
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.04439
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.414755
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.81828
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25952
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75041
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17531
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63708
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14047
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66755
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.190357
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.852538
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.624022
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.616701
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.610383
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.605061
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.600733
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.751112
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.938999
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.138738
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.422927
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.379129
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.57465
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.807507
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.058557
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.330001
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.624333
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.944499
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.294033
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.677109
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.040282
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.410282
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.813396
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25417
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72392
Â(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14558
(340.06, 7.10, 367.12) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 10.6485
(340.06, 7.10, 367.12) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 10.6197
(340.06, 7.10, 367.12) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 10.59264
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.668803
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.286495
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.941482
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.897661
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.891148
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.885674
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.881237
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.003476
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.20605
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.421834
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.692379
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.724143
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.573599
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.806401
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.057364
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.3287
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.622895
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.942944
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.292354
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.675231
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.036394
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.406061
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.808763
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24913
(340.06, 7.10, 367.12) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 9.414082
(340.06, 7.10, 367.12) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 9.386342
(340.06, 7.10, 367.12) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 9.360159
(340.06, 7.10, 367.12) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 9.513669
(340.06, 7.10, 367.12) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 9.905842
(340.06, 7.10, 367.12) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 10.33335
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.780996
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.389545
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.204661
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.197943
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.19231
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.187758
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.276419
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.49552
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.729417
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.983137
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.100097
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.572552
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.80527
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.056161
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.327341
