¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ë(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.722131
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.645915
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16373
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.742
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39189
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13374
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1407
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43912
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.19324
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.61936
(353.29, 9.36, 316.17) (326.42, 1.99, 304.25) (6.01, 2.95, 8.43) Truck 13.91545
(353.29, 9.36, 316.17) (326.42, 1.99, 304.25) (6.01, 2.95, 8.43) Truck 13.68643
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.012804
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.123618
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.241377
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.366729
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.500409
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.64325
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.796192
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.960318
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.13687
ä(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.327277
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.533203
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.208524
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.462682
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.746873
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.058313
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.401047
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.779967
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.178412
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.617764
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.108425
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.571627
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08121
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64984
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28814
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02329
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99027
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24912
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.98251
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.29463
(353.29, 9.36, 316.17) (326.42, 1.99, 304.25) (6.01, 2.95, 8.43) Truck 13.32354
(353.29, 9.36, 316.17) (326.42, 1.99, 304.25) (6.01, 2.95, 8.43) Truck 13.01413
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.997968
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.107884
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.224664
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.348945
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.481449
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.622994
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.774508
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.93705
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.111839
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.30028
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.503999
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.176239
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.429908
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.711082
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.019084
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.357804
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.73214
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.133783
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.568142
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.046909
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.499332
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00095
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56014
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18737
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91599
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.865
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.06562
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.77182
(353.29, 9.36, 316.17) (326.42, 1.99, 304.25) (6.01, 2.95, 8.43) Truck 13.46215
Ì(353.29, 9.36, 316.17) (326.42, 1.99, 304.25) (6.01, 2.95, 8.43) Truck 12.78177
(353.29, 9.36, 316.17) (326.42, 1.99, 304.25) (6.01, 2.95, 8.43) Truck 12.73393
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.983348
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.092383
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.208202
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.331432
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.462784
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.60306
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.753173
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.914166
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.087232
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.27375
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.475312
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.144536
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.397752
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.675975
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.980569
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.315441
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.685269
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.090105
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.519606
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.983055
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.428872
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.922793
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47294
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08945
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81175
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74349
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88835
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.54848
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.76688
(353.29, 9.36, 316.17) (326.42, 1.99, 304.25) (6.01, 2.95, 8.43) Truck 12.50967
(353.29, 9.36, 316.17) (326.42, 1.99, 304.25) (6.01, 2.95, 8.43) Truck 12.51949
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.968943
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.077115
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.19199
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.314191
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.444413
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.583447
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.732188
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.891663
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.063042
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.24768
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.447135
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.113641
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.366175
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.641494
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.942815
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.273911
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.639336
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.044721
×(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.472172
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.920822
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.360231
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.846686
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38811
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99435
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71039
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62559
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71698
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.33314
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.51779
(353.29, 9.36, 316.17) (326.42, 1.99, 304.25) (6.01, 2.95, 8.43) Truck 12.55933
(353.29, 9.36, 316.17) (326.42, 1.99, 304.25) (6.01, 2.95, 8.43) Truck 12.56544
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.954751
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.062076
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.176027
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.297217
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.426332
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.564147
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.711547
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.869536
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.039266
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.222064
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.41946
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.633241
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.335184
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.607708
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.905802
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.233197
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.594383
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.994754
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.425823
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.860157
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.29336
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.772638
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30569
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90193
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61198
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51116
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56347
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.12548
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.27785
(353.29, 9.36, 316.17) (326.42, 1.99, 304.25) (6.01, 2.95, 8.43) Truck 12.61128
(353.29, 9.36, 316.17) (326.42, 1.99, 304.25) (6.01, 2.95, 8.43) Truck 12.61361
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.940773
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.047266
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.160311
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.280511
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.408539
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.545163
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.691248
Û(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.847783
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.015898
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.196897
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.392282
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.603802
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.304768
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.574537
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.869514
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.193324
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.550325
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.945872
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.380493
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.801016
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.228245
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.700569
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22545
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81213
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51632
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40011
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43302
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.92516
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.06572
(353.29, 9.36, 316.17) (326.42, 1.99, 304.25) (6.01, 2.95, 8.43) Truck 12.66556
(353.29, 9.36, 316.17) (326.42, 1.99, 304.25) (6.01, 2.95, 8.43) Truck 12.66405
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.927006
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.032683
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.144838
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.264067
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.391033
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.526487
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.671285
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.826397
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.992933
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.172174
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.365593
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.574904
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.274932
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.542031
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.833936
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.154229
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.507167
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.898033
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.333092
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.743347
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.164815
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.630426
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15226
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73612
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40656
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26608
