°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ú (379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.17198
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.313895
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.14283
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.14665
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.47177
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.24802
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.25497
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.78118
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.55991
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.011991
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.18427
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.369643
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.569627
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.78964
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.034055
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.300999
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.593684
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.917736
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.295005
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.717014
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.180773
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.675225
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.289743
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11325
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.11347
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.43033
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.20689
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.21149
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.7308
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.50088
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.007344
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.179276
¿ (379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.364262
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.563817
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.78527
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.029293
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.295788
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.587958
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.916554
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.293685
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.715536
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.16728
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.660016
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.265349
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.08325
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.07994
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.38838
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.16455
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.99481
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.68151
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.44318
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.002714
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.174301
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.358904
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.558028
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.78089
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.024516
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.290562
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.582217
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.915292
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.292277
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.713953
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.153815
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.644838
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.240716
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.05285
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.04605
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.3458
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.12104
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.90557
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.63334
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.3868
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.9981
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.169344
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.353566
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.552956
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.776498
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.019729
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.285324
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.576463
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.913944
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.290774
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.70466
Ü (379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.140378
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.629696
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.215852
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.02261
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.01184
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.30262
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.07637
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.81661
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.71327
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.33172
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.993507
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.16441
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.348251
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.548903
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.772095
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.01493
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.280072
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.573797
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.912516
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.289182
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.692684
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.126972
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.614594
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.190773
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.992882
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.9773
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.25887
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.03058
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.72794
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.64245
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.27796
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.988932
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.159495
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.342958
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.544839
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.767682
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.010121
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.274813
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.572439
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.911006
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.287501
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.680736
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.113602
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.599535
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.165481
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.962922
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.94245
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.21456
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.9837
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.63957
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.57287
µ (379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.34646
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.984377
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.154603
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.337689
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.540769
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.76326
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.005302
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.26954
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.571007
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.909419
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.282037
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.668817
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.100268
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.584516
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.139987
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.932737
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.9073
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.16972
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.93577
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.55153
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.50452
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.36942
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.979843
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.149732
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.332445
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.536691
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.75883
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.000474
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.26426
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.569503
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.907749
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.271348
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.65693
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.08697
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.569544
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.114812
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.902335
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.87188
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.12437
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.88682
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.46382
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.43737
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.39308
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.975329
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.144884
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.328042
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.532603
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.754392
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.995637
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.262293
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.567924
Æ (379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.905997
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.260688
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.645075
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.07371
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.554619
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.09789
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.871729
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.83618
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.07852
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.83687
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.37646
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.37144
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.41745
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.970836
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.140059
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.324262
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.52851
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.749946
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.990794
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.260798
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.566274
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.904168
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.250056
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.633255
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.060493
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.539742
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.081025
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.840927
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.80023
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.03221
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.78476
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.19789
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.3067
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.44251
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.966367
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.135259
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.320474
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.524411
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.745495
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.985944
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.259237
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.564552
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.894889
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.239458
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.621472
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.04732
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.52492
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.064223
(379.80, 10.23, 325.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.809943
