¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (420.33, 14.09, 323.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.57333
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.656838
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.691137
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.739697
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.805009
Œ (420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.873229
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.944541
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.019138
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.133007
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.283046
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52418
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.08472
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.43076
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.438132
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.446052
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.463773
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.491848
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.520911
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.550995
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.582139
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.614376
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.64775
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.702026
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.76591
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.83262
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.902329
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.975226
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.098274
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.245684
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95321
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75062
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48008
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.388717
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.395728
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.403276
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.426677
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.454007
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.482299
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.511588
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.541906
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.573291
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.60578
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.665456
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.72797
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.793231
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.861404
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.932669
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.064427
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.209299
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66755
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36171
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.98698
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.348103
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.35477
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.365019
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.390726
‘ (420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.417343
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.444899
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.473426
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.502957
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.533525
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.57127
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.629949
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.691149
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.755018
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.821716
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.898984
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.031442
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.173861
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.402716
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9245
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65925
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84264
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.308856
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.315198
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.330833
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.355879
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.381814
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.408665
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.436464
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.46524
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.495029
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.537988
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.595472
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.655407
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.717941
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.783224
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.86897
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.999295
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.139345
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.40931
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77512
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19774
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.09959
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.270923
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.276955
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.297683
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.322097
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.347379
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.373556
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.400657
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.428713
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.457756
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.505656
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.561989
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.62071
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.681959
ş(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.745885
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.839703
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.967966
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.105726
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.415754
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6304
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04031
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57418
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.58306
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.57825
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.57712
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.57965
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.58585
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.59573
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.61584
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.6331
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.65406
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.234247
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.242546
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.265532
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.28934
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.313997
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.339527
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.365961
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.393327
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.421657
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.474241
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.529468
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.587022
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.647038
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.709659
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.811162
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.937429
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.072977
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.422037
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49014
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89059
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31967
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43931
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.33075
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.32941
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.33171
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.33764
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.3472
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.3669
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.38377
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.40431
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.42854
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.198782
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.211925
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.234347
‚ (420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.257575
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.281631
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.306544
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.332339
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.359044
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.391705
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.443716
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.497878
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.55431
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.61314
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.674509
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.783329
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.907665
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.041075
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.428163
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35414
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74559
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1647
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7431
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.09171
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.09019
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.09226
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.09793
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.10721
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.1265
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.143
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.16314
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.18863
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.164478
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.182212
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.204095
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.226766
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.250248
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.274568
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.29975
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.325823
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.363014
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.414053
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.467191
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.522542
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.580233
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.641742
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.756187
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.878655
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.009998
(420.39, 14.10, 323.20) (414.00, 8.57, 303.95) (3.14, 2.68, 3.13) Tools 6.347054
(420.39, 14.10, 323.20) (414.00, 8.57, 303.95) (3.14, 2.68, 3.13) Tools 6.506987
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60508
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01464
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59965
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79487
