¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ù(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.19527
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.658221
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.112083
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.617666
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.786301
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.770844
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.77231
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.777648
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.784009
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.791396
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.799815
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.809272
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.819775
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.369677
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.363866
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.359015
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.35512
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.352175
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.350182
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.349136
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.349039
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.349889
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.351688
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.354436
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.358137
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.362792
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.265071
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.502954
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.760662
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.040732
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.871668
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.242583
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.651567
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.10467
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.609382
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.831492
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.815961
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.816931
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.822457
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.829011
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.8366
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.845228
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.854903
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.865631
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.412329
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.406506
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.401647
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.39775
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.394812
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.39283
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.391804
è(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.391731
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.392612
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.394449
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.397242
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.400993
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.405705
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.262314
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.49997
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.757423
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.528649
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.866066
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.236428
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.644759
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.097081
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.600891
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.878311
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.862702
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.863115
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.868836
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.875595
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.883394
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.892241
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.902143
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.913106
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.45652
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.450682
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.445817
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.44192
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.438988
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.43702
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.436013
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.435966
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.436881
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.438756
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.441595
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.445399
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.45017
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.259489
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.496912
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.754104
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.523396
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.860289
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.230101
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.637747
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.089329
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.592217
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.926805
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.911117
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.910907
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.916833
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.923804
û(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.931824
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.940901
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.951039
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.962248
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.502295
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.496444
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.491572
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.487676
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.484751
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.482796
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.481809
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.48179
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.482738
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.484655
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.487542
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.491401
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.496234
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.256592
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.493779
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.217639
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.518007
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.854413
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.223623
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.630582
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.081383
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.583334
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.977024
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.961254
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.960354
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.966495
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.973688
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.981939
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.991255
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 7.001641
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 7.013107
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.549702
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.543838
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.53896
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.535063
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.532146
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.530206
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.529241
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.52925
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.530235
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.532195
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.535131
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.539048
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.543945
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.25363
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.490572
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.213901
