¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ç(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 22.9857
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.83477
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.36089
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 24.29578
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 23.88588
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 23.29054
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 23.13634
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 23.04188
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 22.95258
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 22.94936
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 22.99112
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.832345
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.151454
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.509713
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.836173
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.204992
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.636209
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.998451
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.48234
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.16593
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.82401
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.53309
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.32489
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.9892
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.72553
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.59263
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13276
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.21445
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.36112
×(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.52411
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.62033
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.89168
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.4425
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 24.58596
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 24.19268
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 23.50311
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 23.15303
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 23.01205
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 22.93769
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 22.97598
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 23.01783
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.856656
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.182255
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.543428
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.85833
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.24871
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.661821
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.02629
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.54916
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.2804
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.88305
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.60724
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.35275
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.01998
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.77193
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.65094
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23079
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.30333
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.43284
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.5677
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.73523
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.9954
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.4826
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 24.88692
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 24.94057
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 23.80422
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 23.42313
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 23.14326
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 23.04296
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 23.13094
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 23.22308
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.880982
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.213058
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.573693
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.880664
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.292624
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.68773
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.087
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.63378
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.3326
ª(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.94926
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.68003
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.38101
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.05123
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.82767
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.70998
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.33039
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.3583
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.50592
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.61286
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.85482
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.1018
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.51396
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 23.43182
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 23.33216
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 23.42238
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 23.51682
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.907965
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.243863
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.59459
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.920602
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.336733
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.713936
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.14822
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.7358
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38137
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.01595
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.7454
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.40968
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.08293
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.88078
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.76975
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.40809
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.40597
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.58033
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.71943
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.97165
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.19003
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.58468
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.936171
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.274653
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.615641
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.960869
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.381025
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.740438
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.20997
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.83905
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.43047
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.08311
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.81123
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.43876
¢(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.12499
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.93451
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.83025
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.44302
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.45458
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.64062
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.83034
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.07186
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.20518
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.65742
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.964347
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.305426
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.636848
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.00128
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.422186
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.776428
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.27223
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.92573
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.47988
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.15075
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.85289
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.46824
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.18223
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.98887
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.89147
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.47876
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.50405
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.67085
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.93396
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.16132
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.2224
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.73203
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.992495
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.336171
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.658206
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.041826
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.447306
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.833068
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.335
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.97063
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.53812
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.21278
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.88004
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.49813
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.23441
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.04386
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.96054
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.51542
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.55445
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.69658
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.9631
›(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.17885
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.24168
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.67905
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.020598
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.366884
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.688898
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.082496
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.472694
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.890129
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.42416
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.01579
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.59904
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.27241
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.90755
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.53452
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.28407
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.09947
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.04001
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.94196
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.60056
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.72318
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.99331
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.18407
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.26299
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.59116
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.048656
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.397558
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.726075
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.123291
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.498352
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.947604
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.51819
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.06121
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.66032
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.33239
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.93542
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.58724
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.33427
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.15572
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.08182
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.97247
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.62504
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.75069
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.02457
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.18641
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.27207
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.506
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.07666
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.427472
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.763334
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.164198
Š(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.53511
