¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.16273
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.634908
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.192186
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.878262
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.70828
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.76544
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.15849
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.02094
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.972
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.4114
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.51935
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.290201
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.434968
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.595853
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.772484
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.950167
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.140082
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.35351
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.583554
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.823297
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.108628
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.384986
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.68072
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.089056
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.527612
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.076817
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.737225
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.51878
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.52597
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.84936
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.6197
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.48402
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.86807
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.04744
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.269554
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.413083
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.56662
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.744169
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.919971
ü(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.107814
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.311885
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.542205
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.778749
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.048612
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.32724
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.618104
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.007458
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.425117
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.964431
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.60025
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.33555
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.29564
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.55388
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.22915
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.3699
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.33125
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.59619
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.73328
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.249213
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.391527
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.542624
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.716295
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.890255
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.076071
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.27496
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.501577
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.735001
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.989559
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.270671
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.556809
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.927674
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.336631
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.854928
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.467176
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15832
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.07407
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.27119
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.85826
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.91551
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.81469
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.17655
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.27925
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.229177
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.3703
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.520097
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.688861
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.861018
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.044851
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.24155
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.461663
ù(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.692042
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.94053
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.215261
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.496807
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.849666
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.250199
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.748219
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.337482
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.991511
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.88166
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.00938
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.50566
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.4658
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.32394
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.76926
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.81291
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.209443
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.349398
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.497923
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.661861
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.832252
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.014144
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.208703
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.42245
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.649857
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.895027
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.160984
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.438068
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.77338
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.165771
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.644214
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.203744
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.847472
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.69584
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.77044
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.17007
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.03178
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.26712
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.20912
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.39771
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.19001
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.328819
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.476097
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.635288
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.803953
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.983945
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.176411
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.38393
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.608435
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.85037
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.107814
”(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.380564
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.698776
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.083287
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.542827
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.073714
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.707701
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.51632
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.54078
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.86376
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.62103
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.77522
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.70759
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.96344
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.170873
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.30856
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.461149
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.681119
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.885909
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.329092
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.449859
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.571939
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.728892
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.94602
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.124851
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.324266
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.625808
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.002692
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.443973
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.95399
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.572032
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.34279
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.31988
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.57588
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.23176
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.28089
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.20136
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.53579
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.62709
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.166475
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.396704
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.770662
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.934
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.108775
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.298729
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.511689
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.719426
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.94194
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.180815
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.408199
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.473325
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.654977
Á(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.923939
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.347573
(408.31, 6.84, 365.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.845442
