¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ô(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.234955
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.681578
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.027016
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.259899
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.607309
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.01337
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.271105
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.205626
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.190644
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.17413
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.135067
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.02711
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.11778
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.10214
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.08806
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.07551
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.0645
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.05501
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.04704
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.073919
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.003499
(337.06, 7.09, 320.00) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 7.502036
(337.06, 7.09, 320.00) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 7.499807
Ê(337.06, 7.09, 320.00) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 7.4987
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.549905
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.764886
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.988928
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.229403
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.488145
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.75868
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.048222
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.361525
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.696488
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.03447
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.28599
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.779412
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.875206
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.247522
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.23146
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.21095
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.18894
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.16853
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.14972
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.820656
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.77892
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.10272
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.09016
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.07913
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.06962
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.06163
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.099116
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.809142
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.04672
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.998075
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.558087
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.617867
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.598574
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.580373
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.56325
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.547188
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.532179
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.374344
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.711722
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.034229
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.31325
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.553565
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.291756
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.27459
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.25104
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.22736
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.20531
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.18487
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.16603
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.14877
ê(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.690331
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.550459
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.551239
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.09531
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.08578
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.07778
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.125441
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.06631
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.06284
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.01411
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.56533
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.534595
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.505114
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.476859
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.449807
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.423936
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.399221
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.375645
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.353187
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.331828
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.311551
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.292339
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.274179
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.257053
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.240971
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.234947
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.229865
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.225719
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.222507
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.220226
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.218874
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.218451
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.218956
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.22039
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.222754
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.226049
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.152917
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.235444
(337.06, 7.09, 320.00) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 6.241551
(337.06, 7.09, 320.00) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 6.248604
(337.06, 7.09, 320.00) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 6.256608
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.574588
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.565259
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.535627
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.507231
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.480042
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.454039
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.4292
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.405505
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.382931
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.361463
Ğ(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.341082
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.321772
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.303516
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.286303
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.270114
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.254942
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.240772
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.227593
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.215395
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.20417
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.193907
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.184601
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.176242
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.168826
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.162346
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.140647
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.144598
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.14848
(337.06, 7.09, 320.00) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 6.145705
(337.06, 7.09, 320.00) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 6.143848
(337.06, 7.09, 320.00) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 6.14291
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.582907
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.804425
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.031297
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.274916
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.53188
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.803452
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.096584
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.413915
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.758481
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.043738
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.354003
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.687784
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04785
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.3355
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.31002
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.2862
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.26401
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.24344
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.245482
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.234193
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.223872
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.214511
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.206103
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.198643
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.192123
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.113509
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.103289
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.098151
(337.06, 7.09, 320.00) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 6.094385
(337.06, 7.09, 320.00) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 6.091534
¸(337.06, 7.09, 320.00) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 6.089594
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.591261
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.814569
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.042148
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.286616
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.542641
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.815052
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.109114
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.427495
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.774322
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.075435
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.387968
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.724334
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08724
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.35848
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.33294
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.30905
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.28681
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.2662
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.24719
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.22978
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.21395
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.19968
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.18698
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.17582
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.16621
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.15813
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.15157
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.14653
(337.06, 7.09, 320.00) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 6.265442
(337.06, 7.09, 320.00) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 6.257586
(337.06, 7.09, 320.00) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 6.25171
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.599677
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.823985
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.053132
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.298409
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.553577
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.826815
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.12187
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.441292
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.798438
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.107732
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.422659
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.761657
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12751
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.38312
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.35751
(337.06, 7.09, 320.00) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.33356
