¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ø(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69746
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.140588
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.3611
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.629644
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.942758
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.638271
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37496
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75525
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87053
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.81552
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.87085
Ä(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.97805
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.17759
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.51328
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.80702
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.04687
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.02204
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.97618
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.95599
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.57933
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.56197
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.54712
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.139028
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.359447
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.643976
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.958209
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.297591
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4817
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8704
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92151
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.87398
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.95184
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.06531
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.28599
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.76081
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.8218
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.061
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.03616
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.43424
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.61481
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.59493
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.86909
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.8855
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.137699
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.35804
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.658395
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.973759
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.314408
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59075
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08124
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97209
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.93193
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.03285
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.15295
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.39453
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.02736
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.83896
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.07741
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.05254
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.44318
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.63293
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.61304
Æ(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.88092
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.89563
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.0091
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.136606
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.356879
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.672903
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.989408
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.331333
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70234
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12533
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02226
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98936
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.10236
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.24097
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.50316
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.3007
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.15478
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.12749
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.10254
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.07993
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.74886
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.76568
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.78489
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.88564
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.92701
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.135744
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.368681
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.687495
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.005151
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.355567
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.28476
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16889
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07185
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.04631
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.16836
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.32932
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.6118
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.87853
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.17582
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.1485
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.12353
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.1009
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.77257
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.78948
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.80878
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.83051
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.85466
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.88126
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.91032
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.86537
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.135116
Ï(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.403369
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.702175
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.020988
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.446266
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.40023
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2118
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12108
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.10272
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.2337
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.41799
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.7205
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.79656
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.19917
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.17182
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.14683
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.12417
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.25501
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.94925
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.65707
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.37767
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.34126
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.42122
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.50435
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.58943
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.52792
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.134719
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.420058
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.716937
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.036916
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.545451
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.49567
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25451
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16974
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15858
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.29842
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50694
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.81976
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.38843
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.22486
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.19747
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.17245
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.14976
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.60651
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.46256
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.32351
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.2106
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.28686
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.3662
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.44868
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.53082
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.61344
È(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.134558
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.433846
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.731781
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.052935
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.644938
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.59134
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30207
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21785
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.21385
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.36257
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.57673
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.89503
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.39482
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.25289
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.22547
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.20042
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.1777
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.57823
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.43475
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.29941
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.17229
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.23501
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.31375
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.39562
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.47488
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.55687
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.1988
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.134628
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.44771
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.746703
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.069041
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.744661
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.68701
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34906
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26538
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.2685
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.42251
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.63232
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.97014
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.42837
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.2833
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.25584
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.23075
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.208
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.55257
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.41051
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.27923
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.15241
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.18565
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.26383
