¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
œ (441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.346942
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.398143
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.375793
 (441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.354424
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.334017
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.314555
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.296022
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.278403
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.261683
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.245851
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.23089
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.216793
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.203545
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.191137
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.179559
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.168802
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.15886
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.149722
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.141382
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.133835
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.127074
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.121094
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.11589
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.111459
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.107798
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.104903
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.102774
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.101406
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.100801
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.100957
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.101874
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.103554
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.316328
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.2943
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.273238
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.253123
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.23394
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.215672
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.198304
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.181822
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.166213
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.151465
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.137565
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.124503
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.112268
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.100851
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.090243
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.080436
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.071422
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.063195
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.055747
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.049073
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.043169
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.038031
  (441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.033653
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.030032
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.027167
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.025055
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.023694
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.023083
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.023222
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.024111
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.025751
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.237723
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.216004
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.195237
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.175404
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.156488
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.138475
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.121349
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.105097
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.089704
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.07516
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.06145
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.048567
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.036499
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.025237
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.014771
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.005095
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.996201
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.988081
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.98073
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.974142
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.968311
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.963234
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.958908
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.955328
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.952491
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.950396
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.949041
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.948425
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.948549
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.949411
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.951013
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.162161
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.140741
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.120259
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.100697
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.082039
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.064272
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.047379
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.031346
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.016161
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.001812
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.988288
™ (441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.975577
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.96367
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.952557
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.942229
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.93268
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.9239
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.915884
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.908627
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.90212
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.896361
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.891344
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.887067
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.883526
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.880717
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.87864
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.877291
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.876672
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.87678
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.877616
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.879182
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.089496
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.068362
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.048153
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.028852
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.010445
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.992913
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.976243
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.960424
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.945439
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.93128
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.917932
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.905387
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.893635
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.882666
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.872471
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.863043
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.854375
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.846459
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.839292
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.832864
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.827175
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.822216
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.817986
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.814483
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.811701
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.809641
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.8083
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.807676
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.807771
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.808583
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.810113
œ (441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 5.019581
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.998724
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.97878
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.959732
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.941563
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.924259
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.907806
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.89219
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.877399
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.863421
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.850245
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.837861
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.826257
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.815426
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.80536
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.79605
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.787489
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.779671
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.772589
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.76624
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.760615
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.755714
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.751531
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.748064
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.745309
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.743265
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.74193
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.741304
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.741385
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.742175
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.743672
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.952287
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.931697
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.912007
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.893201
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.875263
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.858179
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.841934
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.826517
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.811912
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.79811
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.785098
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.772869
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.761408
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.750712
(441.93, 14.36, 266.20) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 4.740769
