¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
÷(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.748593
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.33304
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.30288
(385.16, 13.71, 309.68) (387.73, 9.01, 278.93) (1.09, 1.64, 1.15) Tools 20.39366
(385.16, 13.71, 309.68) (387.73, 9.01, 278.93) (1.09, 1.64, 1.15) Tools 20.45293
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.061038
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.279647
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.515624
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.76692
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.032879
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.348476
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.696394
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.079818
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.534493
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.04985
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.62846
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32131
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.13915
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16117
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.589
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.48738
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.19529
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.63535
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.59488
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.55776
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.52399
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.49352
(385.16, 13.71, 309.68) (387.73, 9.01, 278.93) (1.09, 1.64, 1.15) Tools 20.39219
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.44241
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.077507
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.297405
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.534823
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.785346
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.055932
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.37509
ü(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.725696
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.11332
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.57653
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.091109
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.684737
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.38618
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.22233
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29576
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.75491
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.72827
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.58927
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.83417
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.79328
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.75579
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.72166
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.69086
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.66339
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.63921
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.094033
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.315228
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.554099
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.803872
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.08028
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.401794
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.755054
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.150958
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.618732
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.131211
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.741293
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.45144
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.30618
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43201
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95728
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.9742
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.13515
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.04001
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.99869
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.96079
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.9263
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.89517
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.86739
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.84294
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.110617
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.333117
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.572672
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.822497
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.104703
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.42859
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.784479
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.188721
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.661101
õ(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.17247
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.798122
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.52153
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39068
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.42
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.17786
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.29574
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.71232
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.25312
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.21135
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.17305
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.13817
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.1067
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.07861
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.05388
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.127255
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.351071
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.589974
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.841218
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.129196
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.455469
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.814006
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.226602
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.703629
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.222337
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.855211
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.59698
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.47581
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.54786
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.40286
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.64085
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.31722
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.47379
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.43156
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.39283
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.35756
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.32574
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.29732
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.2723
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.143947
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.369082
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.607359
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.860031
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.153752
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.482429
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.843634
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.264593
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.746083
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.27238
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.912546
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.66987
÷(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.56156
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.67726
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.61866
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.9964
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.32517
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.70231
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.65961
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.62043
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.58475
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.55255
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.5238
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.49847
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.160687
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.387153
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.624827
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.878938
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.178369
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.509464
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.873358
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.30269
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.782378
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.32259
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.970117
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.74319
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.64793
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.80819
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.8293
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.36271
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.22974
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.939
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.89579
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.85616
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.82006
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.78747
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.75836
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.73272
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.177474
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.405279
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.642371
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.89877
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.203042
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.536506
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.903171
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.340878
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.818786
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.372954
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.02791
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.81693
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.73488
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.94065
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.04392
Ï(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.70679
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.69607
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 23.18418
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 23.14046
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 23.10034
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 23.0638
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 23.03081
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 23.00134
(385.16, 13.71, 309.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 22.97537
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.194308
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.422311
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.659992
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.92136
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.227768
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.563593
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.9368
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.379158
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.855298
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.423465
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.09143
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.89107
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.829
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.07462
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.26253
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.16647
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.211182
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.438697
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.677689
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.943987
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.252543
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.590744
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.97109
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.417515
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.891907
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.474108
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15778
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.9656
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.92872
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.21006
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.50912
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.64419
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.228097
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.455145
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.695457
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.966645
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.277359
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.61795
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.005427
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.455944
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.932886
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.52487
¯(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.22441
(385.16, 13.71, 309.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.0405
