¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
û(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 9.8516
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 9.807466
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 9.812752
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 9.831647
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 9.880111
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 9.935114
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 10.04241
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 10.18688
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 10.48959
(409.97, 14.51, 245.76) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 15.04855
(409.97, 14.51, 245.76) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 14.78484
(409.97, 14.51, 245.76) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 14.66353
(409.97, 14.51, 245.76) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 14.81763
(409.97, 14.51, 245.76) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 15.12399
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.430994
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.656783
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.900045
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.162884
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.447703
û(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.757323
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.095037
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.43807
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.871808
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.328135
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.835506
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28576
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 10.26339
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.20845
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.170505
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.134116
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.131013
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.134099
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.138403
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 9.813115
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 9.831259
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 9.879719
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 9.933706
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 10.04097
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 10.18344
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 10.47795
(409.97, 14.51, 245.76) (432.24, 8.60, 233.95) (2.32, 1.85, 2.92) Tools 15.43941
(409.97, 14.51, 245.76) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 15.68811
(409.97, 14.51, 245.76) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 15.55175
(409.97, 14.51, 245.76) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 15.72399
(409.97, 14.51, 245.76) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 16.10199
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.430732
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.656484
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.899743
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.162559
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.44735
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.75692
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.094624
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.425201
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.818331
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.323404
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.40465
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.298575
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.208467
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.153251
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.115687
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.07967
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.078823
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.081775
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.085937
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.127997
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.171787
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.230702
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 9.933669
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 10.04093
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 10.18137
ú(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 10.46753
(409.97, 14.51, 245.76) (432.24, 8.60, 233.95) (2.32, 1.85, 2.92) Tools 15.94304
(409.97, 14.51, 245.76) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 16.55716
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.430469
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.656209
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.899432
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.162222
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.446975
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.756517
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.09417
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.412737
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.759413
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.525332
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.3364
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.23991
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.150918
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.100031
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.062837
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.027175
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.028458
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.031282
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.036819
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.078358
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.121543
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.180952
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.276999
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.387244
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 10.18066
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 10.45834
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.43019
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.655906
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.899119
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.161888
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.446604
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.756125
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.093737
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.400678
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.700975
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.457034
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.274559
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.183454
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.095528
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.048737
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.011897
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.978357
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.979868
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.982572
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.989457
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.030434
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.073043
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.132887
û(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.227749
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.337706
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.534587
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 10.45037
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.429916
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.655613
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.898783
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.161528
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.446233
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.755703
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.093269
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.389026
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.658315
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.391523
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.219183
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.12914
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.042234
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.999319
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.962817
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.931608
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.933009
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.935596
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.943748
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.984186
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.026241
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.086474
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.180198
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.289819
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.48438
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 10.44362
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.429636
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.655311
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.898456
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.161166
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.445832
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.755277
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.0928
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.377757
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.638108
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.328705
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.165936
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.076907
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.990978
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.951723
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.915547
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.88654
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.887837
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.890313
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.89965
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.939573
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.981097
ı(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.041666
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.134302
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.24354
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.435873
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 10.43808
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.429336
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.654996
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.898125
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.160789
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.445435
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.75484
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.092316
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.366901
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.543081
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.268492
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.114758
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.026697
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.943289
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.905905
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.870041
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.843112
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.844309
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.84668
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.857126
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.896554
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.937572
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.998428
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.090018
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.198835
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.389028
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 10.43375
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.429029
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.654658
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.897766
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.16042
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.445015
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.754384
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.091849
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.35643
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.452856
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.210796
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.065589
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.978456
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.898894
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.861819
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.826254
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.801286
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.80239
(409.97, 14.51, 245.76) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.804659
