¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ô(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.29959
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19747
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90635
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71008
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59765
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.62087
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.75958
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.02877
ˆ(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.55222
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.45018
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.35057
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.05862
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.03086
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.00675
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.98626
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.96938
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.9561
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.94641
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.94029
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.93775
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.138444
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.357512
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.593818
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.85166
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.132986
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.433345
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.761321
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.120843
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.062773
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.516348
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01933
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58008
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20914
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91957
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71951
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60848
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.63343
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.77092
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.07569
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.4512
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.60024
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.40676
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.3989
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.37067
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.34613
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.32527
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.30807
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.29451
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.2846
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.27831
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.27565
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.14284
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.36225
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.598934
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.854973
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.136802
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.439678
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.76825
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.128456
€(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.070308
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.524714
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02862
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5905
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22084
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93285
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72902
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.62244
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.65689
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.83417
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.15002
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.35171
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.74539
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.46321
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.7527
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.72397
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.69899
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.67773
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.6602
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.64636
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.63621
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.62974
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.62696
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.147224
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.366972
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.604035
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.8605
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.140041
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.445998
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.775166
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.136052
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.077873
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.533098
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03796
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6009
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23257
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94613
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74691
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.64627
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.6845
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.89818
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.22525
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.31906
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.88528
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.51993
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.99529
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 24.99237
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.151591
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.371678
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.609122
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.866011
Ñ(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.144786
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.45134
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.782064
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.672321
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.085465
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.541472
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04724
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61133
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2443
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95946
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76777
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67024
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71749
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.96297
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23642
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.32538
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.01968
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.57688
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.155944
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.376369
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.614189
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.871501
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.150755
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.454829
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.788949
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.6792
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.093089
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.549862
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0566
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62179
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25607
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97281
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78878
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69433
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.75372
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.02849
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.24292
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.33274
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.39663
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.63408
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.15951
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.381041
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.619236
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.876972
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.156704
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.461318
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.795815
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.686087
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.100677
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.558271
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06595
İ(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63224
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26783
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98614
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80432
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71862
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79006
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.08561
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.25035
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.34119
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.7886
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.69151
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.15327
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.385696
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.624268
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.882424
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.16263
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.467785
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.801312
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.693004
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.108285
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.566698
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07531
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64273
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27965
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99952
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81962
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.74302
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.82659
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.12887
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.25387
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.29158
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.83344
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.74916
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.146944
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.387912
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.629276
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.887855
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.168534
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.474227
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.808369
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.699911
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.115898
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.575104
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08467
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65321
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29146
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01293
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83496
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76756
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86322
