¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Š(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.85363
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.35833
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.595209
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.850336
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.127102
‚(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.42833
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.757935
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.129701
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.542342
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.000999
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.513205
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07965
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72715
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.46538
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.3516
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.33544
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.46885
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.91748
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.69879
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.97303
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.78592
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.926415
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.134207
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.358083
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.594628
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.849706
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.126418
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.427584
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.758508
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.130332
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.54315
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.001899
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.514212
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07956
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72705
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.46526
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.36078
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.34383
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.4688
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.83993
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.68469
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.96877
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.76287
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.926197
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.133972
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.357829
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.594062
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.849092
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.125754
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.426858
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.759074
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.130953
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.543938
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.002776
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.515195
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07945
ô(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72692
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.47705
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.36996
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.34
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.46872
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.83763
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.49203
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.96465
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.73963
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.925973
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.133731
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.35757
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.593513
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.848498
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.125106
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.426153
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.759628
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.131566
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.544708
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.003634
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.515221
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07932
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72678
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.49037
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.37913
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.33647
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.46862
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.83533
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.49466
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.58395
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.71614
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.925745
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.133487
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.357253
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.59298
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.847921
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.124479
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.425469
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.760175
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.13217
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.545462
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.004472
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.514815
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07917
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72661
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.50337
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.38829
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.33324
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.46848
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.83302
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.49729
î(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.61227
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.17982
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.925511
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.133235
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.356774
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.592461
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.84736
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.123869
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.424804
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.760714
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.132793
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.546195
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.005288
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.514421
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07901
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72642
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.51603
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.39745
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.3303
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.46832
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.83069
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.49994
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.64054
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.18267
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.925272
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.132977
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.356308
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.591958
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.846816
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.123277
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.424159
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.761242
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.133439
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.546909
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.006086
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.514033
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07882
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72621
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.52835
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.40659
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.32766
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.46813
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.82836
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.50259
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.66876
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.18547
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.925027
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.132713
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.35586
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.591474
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.846289
ì(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.122706
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.423536
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.761761
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.134067
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.547606
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.006861
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.513658
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07862
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72598
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.54031
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.41573
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.32532
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.46791
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.82603
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.50525
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.69693
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.18823
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.924778
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.132444
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.355423
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.591003
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.845779
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.122154
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.423694
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.762269
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.134679
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.548284
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.007614
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.513294
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.0784
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72573
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.55193
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.42484
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.32328
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.46767
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.82368
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.50792
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.72449
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.19095
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.924521
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.13217
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.355002
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.590549
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.84529
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.121619
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.42415
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.762769
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.135272
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.54894
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.008346
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.512937
é(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07816
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72546
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.5632
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.43395
