¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
á(397.74, 13.95, 247.68) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 7.591535
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.88209
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.97256
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.164074
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.369275
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.589495
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.819662
(397.74, 13.95, 247.68) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 6.915503
(397.74, 13.95, 247.68) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 6.89098
(397.74, 13.95, 247.68) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 6.867651
(397.74, 13.95, 247.68) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 6.915684
(397.74, 13.95, 247.68) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 7.010455
(397.74, 13.95, 247.68) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 7.108936
(397.74, 13.95, 247.68) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 7.349277
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.450478
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.912964
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42142
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.92465
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48074
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09836
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7492
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44979
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23406
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00624
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.89472
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.01353
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.40079
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.85863
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.85052
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.84508
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.84231
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.8422
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.84476
Ï(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.976116
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.167884
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.373352
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.593992
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.824665
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.072969
(397.74, 13.95, 247.68) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 6.906055
(397.74, 13.95, 247.68) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 6.882677
(397.74, 13.95, 247.68) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 6.860475
(397.74, 13.95, 247.68) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 6.839434
(397.74, 13.95, 247.68) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 6.96147
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.040246
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.461143
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.924755
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43552
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94016
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49787
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11746
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76466
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46702
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25341
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01288
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.90217
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.01715
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.40006
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.82408
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.81599
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.81056
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.80779
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.80768
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.81023
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.979717
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.171722
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.377507
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.598458
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.829771
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.078473
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.347119
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.638136
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.9544
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.29926
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.665557
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.050241
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.472148
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.936851
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45012
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95625
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51571
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13729
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78101
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48522
Ñ(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27384
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.02832
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.91108
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.02227
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.40091
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.79231
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.78424
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.77882
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.77606
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.77595
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.77849
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.9834
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.1757
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.381696
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.603009
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.834954
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.084085
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.35318
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.644718
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.961582
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.307116
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.674971
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.060526
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.483454
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.949311
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46501
(397.74, 13.95, 247.68) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.44737
(397.74, 13.95, 247.68) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.42386
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15781
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80233
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50442
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.29538
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.05458
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.9214
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.02889
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.40338
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.76331
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.75525
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.74983
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.74708
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.74697
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.74951
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.987138
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.179699
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.386024
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.607617
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.840296
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.089842
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.359376
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.651433
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.9689
×(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.315128
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.684644
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.0711
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.495091
(397.74, 13.95, 247.68) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.921862
(397.74, 13.95, 247.68) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.896621
(397.74, 13.95, 247.68) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.872976
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55328
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17908
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.82726
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52461
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.31803
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.08228
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93319
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.03697
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.40743
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.73704
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.72899
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.72359
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.72083
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.72072
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.72326
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.990947
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.183756
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.390382
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.612314
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.845735
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.095678
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.365726
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.65833
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.976372
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.323276
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.694581
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.081997
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.507572
(397.74, 13.95, 247.68) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.405857
(397.74, 13.95, 247.68) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.382061
(397.74, 13.95, 247.68) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.446872
(397.74, 13.95, 247.68) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.9951
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20109
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8531
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5458
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34182
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.11143
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.95051
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.04658
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.41313
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 19.47892
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 19.4678
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 19.4596
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 19.45431
Ğ(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 19.45192
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 19.45244
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.994822
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.187887
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.394826
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.617113
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.851279
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.10165
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.372198
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.665366
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.98402
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.331611
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.704803
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.093928
(397.74, 13.95, 247.68) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.966105
(397.74, 13.95, 247.68) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.942141
(397.74, 13.95, 247.68) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.919631
(397.74, 13.95, 247.68) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.42455
(397.74, 13.95, 247.68) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.548
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22382
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87997
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57181
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3667
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.14205
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.98468
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.05769
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.42609
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.03699
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.38389
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.998763
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.192094
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.399343
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.621934
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.856925
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.107777
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.378801
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.672492
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.991794
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.340136
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.716174
(397.74, 13.95, 247.68) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.570114
(397.74, 13.95, 247.68) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.545965
(397.74, 13.95, 247.68) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.523222
(397.74, 13.95, 247.68) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.839859
(397.74, 13.95, 247.68) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.02374
(397.74, 13.95, 247.68) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.17462
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2473
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9078
