¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
» (407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 6.981957
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.034807
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.481208
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.06677
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.76321
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.50518
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 7.288211
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 7.227217
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 7.168298
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 7.111383
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 7.056411
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 7.003319
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 6.95205
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 6.902549
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 6.854765
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 6.808647
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 6.764146
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 6.721221
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 6.67983
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 6.639929
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.605265
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.784269
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.976002
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.181839
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.403351
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.642354
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.900963
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.181638
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.487277
ã (407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.821308
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.187813
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.591702
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.004597
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.479117
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.07086
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.76807
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.52977
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.35902
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.31895
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.44288
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.77655
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.71289
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.36507
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.606843
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.785956
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.977812
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.183783
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.405445
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.644616
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.903412
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.184299
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.49018
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.824484
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.191304
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.595556
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.971125
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.479922
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.07504
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.77264
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.55472
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.38775
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.35237
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.48225
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.82361
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.75954
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.33277
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.60848
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.787708
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.979689
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.1858
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.407618
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.646963
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.905955
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.187064
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.493193
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.827784
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.19493
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.56825
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.969521
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.482179
İ (407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.07931
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.77728
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.57645
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.4169
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.3863
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.52224
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.87142
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.8069
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.30204
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.610179
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.789525
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.981637
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.187892
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.409871
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.649397
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.908591
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.189929
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.496318
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.831205
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.19869
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.538601
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.968059
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.484547
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.08367
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.78199
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.58905
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.44648
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.42074
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.56284
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.91999
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.03047
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.29775
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.26812
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.611937
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.791405
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.983653
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.190058
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.412203
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.651917
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.911321
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.192896
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.499553
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.834745
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.174867
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.513626
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.966725
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.487021
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.08813
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.78699
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.59679
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.47648
Õ (407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.45569
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.60405
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.96933
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.51464
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.34883
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.2619
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.613754
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.793348
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.985736
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.192298
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.414615
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.654523
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.914144
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.195964
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.502899
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.838408
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.148534
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.512551
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.966024
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.489604
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.09267
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.79217
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.60385
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.50691
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.49114
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.64589
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.01944
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.56033
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.40068
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.25632
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.615631
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.795355
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.987888
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.194611
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.417107
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.657214
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.917059
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.199131
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.506354
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.818501
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.122674
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.511597
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.968424
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.492295
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.0973
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.79743
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.611
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.53545
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.52711
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.68835
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.07032
½ (407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.56865
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.60966
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.25137
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.617567
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.797427
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.990109
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.196996
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.419676
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.65999
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.920067
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.202401
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.509921
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.795034
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.102676
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.510763
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.970916
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.495096
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.10202
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.80276
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.61684
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.55092
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.56359
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.73144
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.12198
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.57722
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.00725
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.24707
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.619561
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.79956
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.992395
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.199454
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.422325
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.662852
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.923166
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.205771
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.494264
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.771989
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.102033
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.51005
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.973504
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.499146
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.10683
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.80817
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.62269
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.56651
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.60058
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.77515
