¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ƒ (379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.767699
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22597
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71947
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23359
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8014
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43158
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10835
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.92625
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.46856
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.44239
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.41794
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.3952
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.10017
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.992006
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.892356
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.796877
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.704658
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.615582
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.529534
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.446411
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.366112
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.395707
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.445546
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.495033
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.546473
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.599915
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.583459
î(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.328843
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.649254
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.996712
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.374753
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.787427
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23975
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72833
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24338
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81224
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44364
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.93138
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.36737
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.46879
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.44261
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.41818
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.39543
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.06217
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.95738
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.85913
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.764245
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.672597
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.584072
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.498558
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.415949
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.336146
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.343098
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.39091
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.439815
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.490655
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.543481
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.591972
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.889451
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.658879
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.007154
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.386163
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.799877
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25343
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73723
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25321
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82309
(379.83, 15.75, 278.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45576
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.500386
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.47406
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.449286
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.426045
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.404318
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.06339
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.02651
(379.83, 15.75, 278.25) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.925373
