¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ş(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.323069
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.33704
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.31272
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.29004
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.26899
ê(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.24956
(433.80, 15.04, 249.07) (414.29, 7.69, 231.04) (1.79, 1.40, 1.27) Tools 15.27841
(433.80, 15.04, 249.07) (414.29, 7.69, 231.04) (1.79, 1.40, 1.27) Tools 15.18573
(433.80, 15.04, 249.07) (414.29, 7.69, 231.04) (1.79, 1.40, 1.27) Tools 15.09642
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.3722
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.45005
(433.80, 15.04, 249.07) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 13.10186
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.250239
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.462285
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.690234
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.935958
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.201518
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.489386
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.751469
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.985493
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.27014
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.577172
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.909267
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.269548
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.696209
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.24437
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.21597
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.18925
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.16418
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.14074
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.39886
(433.80, 15.04, 249.07) (414.29, 7.69, 231.04) (1.79, 1.40, 1.27) Tools 14.72048
(433.80, 15.04, 249.07) (414.29, 7.69, 231.04) (1.79, 1.40, 1.27) Tools 14.63592
(433.80, 15.04, 249.07) (414.29, 7.69, 231.04) (1.79, 1.40, 1.27) Tools 14.5545
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.42524
(433.80, 15.04, 249.07) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 13.06936
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.252247
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.464426
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.692554
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.938448
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.20422
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.492323
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.762894
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.989431
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.25322
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.558922
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.889521
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.248096
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.644605
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.08045
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.05259
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.02637
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.00178
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.978798
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.38412
(433.80, 15.04, 249.07) (414.29, 7.69, 231.04) (1.79, 1.40, 1.27) Tools 14.56975
æ(433.80, 15.04, 249.07) (414.29, 7.69, 231.04) (1.79, 1.40, 1.27) Tools 14.54824
(433.80, 15.04, 249.07) (414.29, 7.69, 231.04) (1.79, 1.40, 1.27) Tools 14.52896
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.40083
(433.80, 15.04, 249.07) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 13.0374
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.254269
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.466587
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.694891
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.940968
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.206948
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.495278
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.774698
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.001997
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.244219
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.541042
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.870182
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.227135
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.615516
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.923162
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.895812
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.87008
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.845949
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.823397
(433.80, 15.04, 249.07) (412.23, 7.58, 230.67) (1.90, 1.13, 1.65) Tools 15.148
(433.80, 15.04, 249.07) (412.23, 7.58, 230.67) (1.90, 1.13, 1.65) Tools 15.10354
(433.80, 15.04, 249.07) (412.23, 7.58, 230.67) (1.90, 1.13, 1.65) Tools 15.06159
(433.80, 15.04, 249.07) (412.23, 7.58, 230.67) (1.90, 1.13, 1.65) Tools 15.0221
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.4085
(433.80, 15.04, 249.07) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 13.00598
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.256298
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.468809
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.69726
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.943534
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.209716
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.49828
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.786946
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.014994
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.258065
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.523567
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.851283
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.20662
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.593176
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.772156
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.745293
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.720027
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.696331
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.674192
(433.80, 15.04, 249.07) (412.23, 7.58, 230.67) (1.90, 1.13, 1.65) Tools 16.32585
(433.80, 15.04, 249.07) (412.23, 7.58, 230.67) (1.90, 1.13, 1.65) Tools 16.29833
(433.80, 15.04, 249.07) (412.23, 7.58, 230.67) (1.90, 1.13, 1.65) Tools 16.27334
(433.80, 15.04, 249.07) (412.23, 7.58, 230.67) (1.90, 1.13, 1.65) Tools 16.25084
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.42881
ì(433.80, 15.04, 249.07) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 12.97509
(433.80, 15.04, 249.07) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 13.75436
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.258384
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.471021
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.699657
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.94611
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.212505
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.501314
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.799571
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.028416
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.272366
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.532922
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.832791
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.186574
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.571353
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.627102
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.600706
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.575881
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.552604
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.551437
(433.80, 15.04, 249.07) (414.06, 7.73, 232.70) (1.88, 1.40, 1.43) Tools 13.23908
(433.80, 15.04, 249.07) (414.06, 7.73, 232.70) (1.88, 1.40, 1.43) Tools 13.30398
(433.80, 15.04, 249.07) (414.06, 7.73, 232.70) (1.88, 1.40, 1.43) Tools 13.37153
(433.80, 15.04, 249.07) (414.06, 7.73, 232.70) (1.88, 1.40, 1.43) Tools 13.44178
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.45091
(433.80, 15.04, 249.07) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 12.72986
(433.80, 15.04, 249.07) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 12.76866
(433.80, 15.04, 249.07) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 12.84502
(433.80, 15.04, 249.07) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 12.92424
(433.80, 15.04, 249.07) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 13.00641
(433.80, 15.04, 249.07) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 13.09158
(433.80, 15.04, 249.07) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 13.17986
(433.80, 15.04, 249.07) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 13.27133
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.260458
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.473238
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.70206
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.948709
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.215312
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.50436
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.812623
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.042297
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.287142
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.548706
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.828661
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.16696
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.515213
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.487698
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.461749
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.437345
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.41447
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.539638
÷(433.80, 15.04, 249.07) (414.30, 7.73, 233.94) (1.88, 1.40, 1.43) Tools 12.38688
(433.80, 15.04, 249.07) (414.30, 7.73, 233.94) (1.88, 1.40, 1.43) Tools 12.44245
(433.80, 15.04, 249.07) (414.30, 7.73, 233.94) (1.88, 1.40, 1.43) Tools 12.50041
(433.80, 15.04, 249.07) (414.30, 7.73, 233.94) (1.88, 1.40, 1.43) Tools 12.56079
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.47481
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.85288
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.91639
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.98239
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 12.05092
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 12.12207
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 12.19589
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 12.27246
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 12.35185
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.262554
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.47552
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.7045
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.95134
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.218168
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.507456
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.822137
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.056587
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.302397
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.564981
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.846073
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.147828
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.380723
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.353658
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.328135
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.304136
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 9.281646
(433.80, 15.04, 249.07) (414.30, 7.73, 233.94) (1.88, 1.40, 1.43) Tools 11.5934
(433.80, 15.04, 249.07) (414.30, 7.73, 233.94) (1.88, 1.40, 1.43) Tools 11.63928
(433.80, 15.04, 249.07) (414.30, 7.73, 233.94) (1.88, 1.40, 1.43) Tools 11.68727
(433.80, 15.04, 249.07) (414.30, 7.73, 233.94) (1.88, 1.40, 1.43) Tools 11.73741
(433.80, 15.04, 249.07) (414.30, 7.73, 233.94) (1.88, 1.40, 1.43) Tools 11.78975
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.50054
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.48801
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.47723
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.46817
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.46083
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.45522
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.45131
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.48356
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.55315
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.26469
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.477806
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.706953
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.953985
