¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ô(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.378176
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.683953
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.658942
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.638062
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 7.187265
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 7.204226
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88634
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50751
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20586
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9155
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.62983
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43009
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.93252
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.5226
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.16379
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.59966
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.9426
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.55676
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.21993
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.04876
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.50133
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.97302
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.92412
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.110339
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.3206
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.546821
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.790936
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.055033
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.846961
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.802971
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.783351
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.764851
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.747455
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.796961
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 7.087023
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 7.102246
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 7.1186
Ê(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88189
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50258
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20024
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8992
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60123
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.39516
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95001
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.54157
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.18433
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.59667
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13593
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.76457
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.47002
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.05243
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.49951
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.97112
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.95556
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.10217
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.311784
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.537337
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.780698
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.043927
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.905512
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.884547
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.864732
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.84605
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.828485
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.812025
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 7.005507
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 7.020173
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 7.063098
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87778
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49795
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.19506
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89129
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59247
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3801
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96203
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56147
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.20669
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.73902
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.33587
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.9797
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.62908
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.05345
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.50055
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.97221
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.86158
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.093995
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.303022
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.527909
Ó(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.770496
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.032866
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.317529
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.969151
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.949133
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.930263
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.912523
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.895903
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.926782
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.940917
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31918
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87402
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49374
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.19029
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88416
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58455
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.38902
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96083
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56021
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.21759
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86187
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50565
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.20246
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.6327
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.05721
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.50449
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.97631
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.77173
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.085859
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.294277
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.51848
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.760304
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.021857
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.305589
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.614375
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.951699
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 7.017619
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.999701
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.982913
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.967242
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.952677
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31607
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87058
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48986
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18594
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87782
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57744
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.39874
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96116
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56051
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.30425
¼(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.91292
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.56069
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.29694
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.69635
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.11646
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.55886
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.02529
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.90676
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.077768
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.285579
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.509103
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.750199
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.01089
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.293678
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.601438
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.937475
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.305965
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.708082
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.042575
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.405283
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.814256
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31328
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86744
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48639
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18201
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87221
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57117
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40933
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96292
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56245
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.36315
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.96625
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.61826
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.36866
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.77121
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.19477
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.64084
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.59044
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.42842
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.069688
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.276924
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.499773
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.740124
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.999993
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.281854
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.588518
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.923376
