¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¡ (437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.306961
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.210805
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.212471
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.214619
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.21725
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.220367
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.223972
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.228067
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.232655
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.237741
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.434156
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.424437
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.415282
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.406682
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.398632
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.391124
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.384154
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.377715
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.371803
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.366413
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.184837
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.180709
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.177065
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.173903
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.171221
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.169014
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.167284
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.166027
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.165245
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.164934
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.165096
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.165731
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.166839
™ (437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.16842
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.170477
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.17301
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.176022
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.179514
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.18349
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.187952
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.192904
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.436565
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.424253
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.412535
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.401404
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.39085
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.380863
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.371438
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.362565
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.354238
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.147602
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.142987
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.138853
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.135198
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.132018
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.129311
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.127076
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.125309
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.124011
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.123179
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.122815
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.122916
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.123483
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.124517
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.126019
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.12799
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.13043
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.133342
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.136728
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.14059
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.144932
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.149757
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.425874
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.441343
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.450709
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.439483
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.428839
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.41877
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.409267
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.400323
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.391931
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.10728
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.102668
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.09853
š (437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.094866
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.09167
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.088942
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.086679
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.08488
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.083542
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.082665
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.08225
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.082294
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.082798
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.083763
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.08519
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.087078
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.08943
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.092247
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.095533
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.099288
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.103516
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.108221
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.402083
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.417234
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.433034
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.449499
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.466643
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.45805
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.448467
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.43945
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.430991
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.068419
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.063809
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.05967
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.055997
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.052788
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.050041
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.047754
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.045923
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.04455
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.043631
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.043168
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.043158
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.043603
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.044502
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.045857
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.047668
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.049937
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.052665
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.055855
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.059508
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.063628
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.068218
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.379005
 (437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.39385
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.409336
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.425477
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.442289
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.459786
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.477983
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.480006
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.471477
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.030951
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.026347
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.022207
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.018528
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.015308
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.012543
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.010233
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.008375
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.006967
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.00601
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.005501
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.005441
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.00583
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.006668
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.007956
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.009693
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.011883
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.014526
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.017625
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.021181
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.025198
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.029679
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.356621
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.371171
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.386355
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.402187
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.418679
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.435848
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.454249
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.499864
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.513454
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 2.994819
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 2.99022
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 2.98608
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 2.982396
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 2.979166
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 2.976386
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 2.974055
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 2.972171
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 2.970732
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 2.969738
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 2.969188
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 2.96908
