¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ç (376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.04717
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.464928
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.908808
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.410328
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.02075
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.75426
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.63539
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.70976
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3092
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.83751
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.74459
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.708325
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.072365
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.47382
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.918695
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.422701
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.03723
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.77826
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.67314
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.75497
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.11277
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.97896
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.00315
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.715289
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.080032
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.482306
Ú (376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.928137
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.434442
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.0529
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.80128
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.70972
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.81017
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.18855
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.11521
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.25909
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.721914
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.087336
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.490386
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.937126
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.445543
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.06778
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.82328
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.74509
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.8705
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.26282
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.28533
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.58127
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.730147
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.094258
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.498054
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.945655
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.455998
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.08504
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.85175
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.77921
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.92949
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.34063
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.45899
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.9422
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.741043
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.10081
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.505302
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.953723
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.465804
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.10223
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.87954
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.82384
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.98708
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.4456
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.62848
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.2958
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.747065
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.106982
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.512137
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.961325
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.474953
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.1185
Ó (376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.90623
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.87022
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.0501
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.54949
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.7934
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.65041
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.752753
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.114735
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.518548
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.968458
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.483442
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.13384
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.93178
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.91531
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.13241
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.65219
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.64604
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.00557
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.758102
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.123814
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.524534
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.975121
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.491428
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.15046
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.9668
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.96628
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.21358
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.7185
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.78417
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.36073
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.763112
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.129329
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.530091
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.981308
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.500034
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.17033
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.00236
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.03159
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.27748
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.76555
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.91785
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.71549
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.767781
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.134473
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.538836
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.987015
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.507886
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.18918
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.04331
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.0932
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.31355
Ş (376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.81031
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.04683
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.772101
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.139234
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.544106
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.992244
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.514974
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.21548
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.0956
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.12128
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.34771
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.85273
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.17635
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.776084
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.143619
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.548956
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.996988
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.523302
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.24798
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.12492
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.14777
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.37993
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.89276
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.31791
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.779715
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.147618
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.553383
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.003098
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.533351
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.27996
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.14568
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.17261
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.41018
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.93035
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.44091
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.782998
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.151236
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.557386
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.00755
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.55444
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.29638
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.16505
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.19579
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.43841
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.96547
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.55817
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.785931
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.154465
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.560963
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.011529
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.567492
Ù (376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.31159
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.18301
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.21729
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.4646
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.99806
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.66938
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.788512
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.157309
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.56411
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.997917
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.566822
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.32559
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.19953
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.23708
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.48872
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.02808
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.77427
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.79074
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.159765
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.56567
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.983326
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.549218
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.33836
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.21461
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.25515
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.51075
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.05551
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.89277
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.79262
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.161835
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.541971
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.970554
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.540521
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.3499
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.22824
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.27148
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.53067
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.08032
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.04005
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.79414
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.152387
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.51981
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.963629
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.530694
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.36019
(376.01, 8.08, 343.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.24039
