¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Á(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.565723
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.272987
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.512502
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.239612
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.54497
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.883585
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.255327
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.66519
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.119329
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.62937
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21518
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87135
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61946
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.523
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60421
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.1091
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.09162
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.31979
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.843859
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.0494
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.270898
ò(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.959
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.234997
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.541209
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.879449
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.250807
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.660156
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.113761
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.624183
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2029
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85746
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60355
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50774
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56806
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.04859
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.01732
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.27269
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.842052
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.047454
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.268798
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.954741
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.230441
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.537395
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.875294
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.24619
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.655115
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.108131
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.613246
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19058
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84342
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58938
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49222
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5475
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98771
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.94221
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.22239
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.840238
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.045505
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.696364
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.950508
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.225834
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.533574
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.871105
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.241595
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.65001
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.099233
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.602228
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17818
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82935
(384.12, 6.81, 353.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5759
