¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.102398
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.510931
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.972503
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.488387
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.08309
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.76628
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.54493
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.42305
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.92409
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.80758
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.51631
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.443
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.76759
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.74313
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.72154
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.70277
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.68683
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.67371
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.66339
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.65586
½(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.65112
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.64917
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.690903
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.876978
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.076572
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.296052
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.536471
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.796368
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.079376
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.385215
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.716549
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.086909
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.502369
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.962814
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.477526
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07104
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.75176
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.52682
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.40153
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.46851
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.07793
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.46495
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.37958
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.66067
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.63638
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.61493
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.5963
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.58048
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.56746
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.55722
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.54976
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.54507
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.54315
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.686396
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.872153
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.071391
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.291163
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.531138
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.790581
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.073222
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.378326
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.709007
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.079232
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.49386
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.953191
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.466739
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.05902
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.73726
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.50881
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.38016
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.44158
í(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.74474
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.41396
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.31677
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.55772
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.53359
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.51229
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.49379
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.47808
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.46515
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.45499
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.4476
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.44296
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.44108
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.681941
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.867381
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.066269
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.286307
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.525846
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.784839
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.067106
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.371509
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.70154
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.071601
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.4854
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.943628
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.455951
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.04702
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.7228
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.4909
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.35895
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.41485
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.70991
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.36344
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.25453
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.45865
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.43468
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.4135
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.39513
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.37953
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.36669
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.35661
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.34928
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.34469
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.34284
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.677538
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.862666
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.061209
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.281479
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.520592
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.779139
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.06103
Ö(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.36476
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.694151
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.064017
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.476994
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.934132
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.445211
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.03507
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.70837
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.4731
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.3379
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.38832
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.67518
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.31336
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.19288
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.36337
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.33953
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.31849
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.30023
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.28474
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.27199
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.26198
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.25471
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.25017
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.24836
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.673189
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.858008
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.056208
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.276682
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.515378
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.773482
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.054996
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.358081
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.686837
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.056479
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.468641
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.9247
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.434553
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.02315
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.69397
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.4554
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.31701
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.36201
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.64054
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.2637
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.13179
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.27177
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.24808
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.22717
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.20902
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.19362
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.18096
Ç(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.17103
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.16381
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.15932
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.15753
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.668892
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.853407
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.05127
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.271917
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.510204
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.767869
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.049002
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.351472
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.679601
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.048991
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.460343
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.915332
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.423975
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.01127
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.6796
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.43781
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.29628
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.33591
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.60601
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.21445
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.07127
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.18379
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.16024
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.13945
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.12141
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.10611
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.09353
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.08366
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.0765
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.07205
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.07029
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.664649
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.848863
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.046394
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.267183
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.505073
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.762303
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.043051
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.344934
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.672443
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.041552
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.452101
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.906034
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.41348
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.999425
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.66528
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.42033
ğ(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.27571
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.31002
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.57158
