¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Î(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.564726
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.958517
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.955489
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.543756
(332.58, 7.48, 362.03) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 9.953892
(332.58, 7.48, 362.03) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 9.955323
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.290614
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.504467
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.734441
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.982301
²(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.250266
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.540787
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.861058
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.217072
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.601838
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.014914
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.471169
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.977608
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.543
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17805
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89635
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76802
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.711559
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01167
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.2943
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.18776
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.61447
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.24622
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.640119
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.23129
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.609756
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.291662
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.505603
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.735647
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.983639
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.251711
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.542334
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.861095
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.217091
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.595646
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.008123
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.463617
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.969249
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.47038
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.44502
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.42134
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.39931
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.780699
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.36016
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.34034
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.32744
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.31346
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.30105
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.29022
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.715244
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.27319
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.267
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.26235
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.25923
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.67809
(332.58, 7.48, 362.03) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 10.25758
¢(332.58, 7.48, 362.03) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 10.25906
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.292738
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.506776
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.736901
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.98499
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.253167
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.543936
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.861096
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.214901
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.589514
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.001368
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.456159
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.960936
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52428
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15697
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80954
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46914
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.852273
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.20761
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.15198
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.25614
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.15139
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.04034
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.811691
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.78629
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.39612
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.748834
(332.58, 7.48, 362.03) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 10.39445
(332.58, 7.48, 362.03) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 10.39594
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.293867
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.507977
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.738177
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.986368
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.254674
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.545544
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.861968
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.209352
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.583457
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.994665
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.448755
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.952687
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51509
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14658
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75794
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38781
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.926371
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.21178
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.01928
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.29906
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.47292
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.957761
Ÿ(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.86783
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.822069
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.294984
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.509151
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.739478
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.987761
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.256164
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.547209
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.863777
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.203851
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.57743
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.988047
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.441439
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.944518
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50595
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13629
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70725
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33143
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.003071
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.815621
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.44912
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.34211
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.50731
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.953457
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.840975
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.765836
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.897879
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.296106
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.510404
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.740788
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.989187
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.257705
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.548882
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.860353
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.194698
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.570625
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.981492
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.434171
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.936481
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4969
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09972
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65737
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27601
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15406
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.155685
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.48171
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.38525
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.043296
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.86511
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.697687
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.594019
®(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.976355
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.297274
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.511652
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.742134
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.990637
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.259267
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.550578
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.855009
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.184553
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.559543
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.971947
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.426974
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.928483
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48797
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05538
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60838
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22154
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96296
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.155707
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.58402
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.1375
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.55592
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.90133
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.430686
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.05759
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.298448
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.512899
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.743491
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.992133
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.260876
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.551917
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.849748
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.174489
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.548493
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.959789
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.414099
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.41721
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.392949
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.370207
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.348968
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.329214
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.310931
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.233023
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.236227
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.222333
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.252232
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.241111
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.231393
