¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
è!(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.493723
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.853929
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.842999
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.832979
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.140836
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.629668
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.776985
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.489192
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.480659
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.473112
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.466547
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.460958
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.456344
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.452696
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.450016
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.4483
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.447546
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.447757
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.448929
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.451064
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.454165
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.458233
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 7.244178
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.961144
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.94163
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.923125
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.905613
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.88908
é!(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.873515
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.858903
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.845234
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.832498
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.820683
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.809782
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.799786
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.181228
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.676891
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.741203
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.477129
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.468604
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.461063
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.454503
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.448916
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.444301
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.440654
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.437971
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.436251
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.43549
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.435692
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.436854
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.43898
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.442066
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.446118
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.981874
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.928654
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.909211
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.890772
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.873321
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.856845
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.841331
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.826766
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.813139
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.800438
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.788657
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.777783
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.841151
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.221935
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.72453
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.726647
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.466065
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.457547
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.450012
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.443456
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.437872
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.433259
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.42961
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.426924
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.4252
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.424435
ç!(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.424629
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.425782
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.427896
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.430969
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.671024
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 7.21811
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.897366
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.877992
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.859616
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.842226
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.825804
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.81034
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.795821
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.782233
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.769569
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.757819
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.746972
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.893539
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.271849
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.750473
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.737589
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.455992
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.447481
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.439952
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.433398
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.427818
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.423204
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.419556
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.416867
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.41514
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.414369
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.414557
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.4157
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.417805
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.420869
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.660539
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 7.206758
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.867252
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.847945
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.829633
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.812299
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.79593
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.780514
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.766038
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.752491
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.739862
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.728142
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.717321
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.94681
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.33237
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.762474
ë!(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.749571
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.446904
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.438398
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.430873
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.424325
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.418746
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.414133
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.410483
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.407793
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.406062
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.405286
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.405468
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.406606
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.4087
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.411754
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.651077
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 7.196515
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.838287
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.819045
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.800792
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.783514
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.767198
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.751828
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.737394
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.723885
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.711291
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.699601
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.688805
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.00098
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.393989
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.775525
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.762602
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.438792
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.430293
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.422771
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.416225
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.410649
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.406037
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.402386
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.399694
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.39796
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.397181
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.397357
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.398487
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.400574
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.403618
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.642634
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 7.187373
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.810445
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.791266
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.773072
ê!(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.755847
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.73958
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.724257
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.709863
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.696392
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.683829
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.672167
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.703021
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.056061
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.432806
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.789636
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.776691
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.431651
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.423157
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.41564
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.409096
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.403521
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.398909
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.395258
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.392565
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.390828
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.390045
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.390216
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.391341
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.393422
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.396459
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.728887
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 7.179325
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.783705
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.764585
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.746446
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.729274
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.713055
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.697774
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.683421
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.669985
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.657456
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.645821
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 5.752526
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.11207
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.430022
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.804817
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.434952
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.425476
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.416986
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.409472
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.402931
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.397356
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.392746
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.389095
(417.81, 13.34, 328.19) (423.96, 13.24, 303.26) (13.16, 11.53, 16.58) Truck 6.3864
