¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Š(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.4526
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.40721
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.58939
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.3625
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.636631
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.813053
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.001796
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.204171
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.42165
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.655972
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.909095
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.183367
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.481481
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.806616
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.16256
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.553843
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.985979
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.465564
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0008
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57456
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13366
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86658
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79647
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31009
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.86886
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.04702
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.41865
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.60371
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.38095
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.63771
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.814217
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.003036
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.205513
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.423082
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.657513
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.910762
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.185178
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.483449
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.808755
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.164912
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.556456
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.988841
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.468756
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00438
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5744
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22296
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9683
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75288
†(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26289
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81753
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79602
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.43091
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.61909
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.40076
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.63885
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.815438
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.004368
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.206914
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.424609
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.659156
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.91254
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.187111
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.485528
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.811052
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.167432
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.559225
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.991906
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.472166
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00819
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6102
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29105
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06722
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7107
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21721
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76789
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.55041
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.44404
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.63552
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.42195
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.640107
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.816751
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.005758
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.208409
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.426229
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.660927
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.914457
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.189167
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.487772
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.813508
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.170098
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.562173
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.995174
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.475792
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01225
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61477
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29625
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07316
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70731
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20813
Š(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75224
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.75146
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.45801
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.65302
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.44452
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.641401
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.818126
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.007239
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.210024
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.427947
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.662744
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.916428
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.191346
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.490127
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.816091
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.172941
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.565294
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.998628
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.479629
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01655
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61961
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30175
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07945
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70966
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21069
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75504
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.39612
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.30855
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.65377
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.46845
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.642758
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.819619
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.008811
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.211703
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.429789
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.664721
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.918568
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.193649
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.492651
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.818807
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.175928
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.568592
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.002278
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.483696
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02109
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62473
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30755
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08609
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71314
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21447
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75911
„(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.90787
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.1802
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.65025
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.49376
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.644237
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.821146
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.010475
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.213475
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.431672
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.666774
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.920794
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.19605
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.495288
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.821712
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.179088
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.572063
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.006116
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.487969
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02588
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63012
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31367
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0931
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71775
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21945
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80372
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.95146
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.07648
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.6477
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.52046
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.645724
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.822794
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.012201
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.215341
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.433681
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.668959
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.923133
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.198606
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.498039
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.824721
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.182401
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.575712
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.010158
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.492463
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0309
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63579
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3201
(325.59, 7.61, 372.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10046
