¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¬(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.58894
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.14567
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.09901
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.07055
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.00654
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.60085
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.043112
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.272801
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.521651
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.792118
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.087094
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.407287
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.720518
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.040141
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.388678
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.770174
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.742155
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30651
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08384
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23143
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.74122
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.37552
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.1712
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.58243
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.07143
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.03204
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.63457
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.18256
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.10884
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.25587
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.16517
Ù(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.13542
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.14501
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.18199
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.33414
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.43833
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.047655
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.277718
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.526989
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.797931
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.093445
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.406775
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.715923
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.035143
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.383219
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.764188
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.748498
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3136
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00418
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13213
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67802
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.32682
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01994
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.52612
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.46701
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.0619
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.66815
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.98959
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.95814
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.06932
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.00673
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.01008
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.97619
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.99335
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.0645
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.13808
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.21511
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.052132
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.282564
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.53225
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.803661
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.099709
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.406247
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.711421
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.030244
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.37787
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.758323
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.176406
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3207
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9561
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03338
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53497
„(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27924
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96755
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.54482
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.85665
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.43623
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.18341
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.81841
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.79329
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.90294
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.87781
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.83666
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.81303
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.82854
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.89977
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.97208
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.0478
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.056546
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.28734
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.537435
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.809308
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.105882
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.405705
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.707012
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.025447
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.372631
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.75258
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.170086
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32769
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95993
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93515
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39337
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23271
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.91632
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.56343
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.78148
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.3398
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.2723
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.65778
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.63505
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.74258
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.71703
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.67601
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.65693
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.66933
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.74064
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.81173
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.8862
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.06089
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.292044
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.542541
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.814871
è(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.108559
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.40515
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.702695
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.02075
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.367505
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.746961
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.163899
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.667692
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96373
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83758
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25335
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18727
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.8663
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.37896
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.70817
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.49188
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.64005
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.50264
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.48219
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.58768
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.56172
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.52806
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.50935
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.51554
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.58691
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.65684
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.7301
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.065168
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.296674
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.547569
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.820349
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.108038
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.404583
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.698472
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.016155
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.362487
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.741462
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.157845
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.672932
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96757
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74058
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11483
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14288
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.81749
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.02546
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.63664
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.51943
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.04876
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.35614
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.33451
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.43812
Ö(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.4117
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.38506
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.36673
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.36794
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.4384
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.50722
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.57933
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.069377
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.301231
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.552517
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.825739
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.107503
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.402263
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.694342
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.011663
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.357584
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.736086
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.157457
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.67815
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.26563
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.668
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97785
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.09953
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.76984
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.68225
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.56686
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.39113
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.89142
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.23332
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.1575
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.29543
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.19067
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.1952
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.2289
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.24009
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.29496
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.3627
(324.91, 7.15, 393.37) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.43372
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.073518
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.305713
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.557385
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.831043
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.106957
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.398541
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.690307
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.007274
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.35279
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.730833
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.161263
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.683345
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.27149
‚(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67233
