¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¹(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.580669
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.827682
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.195155
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.599751
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.05165
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.568938
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72057
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43182
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26615
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34597
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.73498
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.3808
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.48384
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.27294
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.08093
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.65193
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.9379
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.1651
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.40033
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.64214
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.86508
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.09583
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.33484
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.58229
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.82834
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.507059
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.843295
Õ(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.212342
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.618566
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.074321
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.597217
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74181
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4561
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30707
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43256
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.85487
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.57956
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.71101
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.70232
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.31836
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.90241
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.25506
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.48923
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.72561
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.94694
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.17607
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.41333
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.65904
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.91345
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.521084
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.85867
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.229275
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.637109
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.096652
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.625089
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7625
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4885
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38385
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52436
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.97448
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.78284
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.94693
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.99865
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.56301
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.16064
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.58418
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.81538
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.03525
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.26295
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.49868
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.74273
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.99551
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.534884
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.873805
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.24594
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.655367
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.118632
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.652532
Ğ(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.26562
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54106
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46023
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61581
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.09367
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.98443
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.2107
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.23769
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.81512
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.42695
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.91312
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.13272
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.36008
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.59548
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.83919
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.548455
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.888691
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.262336
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.673336
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.140255
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.67954
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.29653
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59332
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53312
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70679
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.21237
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13529
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.48143
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.50658
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.11601
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.76297
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.24678
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.47321
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.70766
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.9504
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.561794
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.903325
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.278458
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.691012
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.16151
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.706095
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.33102
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64514
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60082
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79735
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.33052
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.28576
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.7594
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.82151
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.44914
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.05772
ï(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.54846
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.82675
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.574894
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.9177
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.294298
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.708387
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.182386
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.732186
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.36497
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69658
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66763
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88742
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.44805
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.43569
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.04586
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.14738
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.7941
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.3312
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.83389
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.587752
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.931809
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.309849
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.726146
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.203188
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.757807
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.39835
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74757
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73349
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97685
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56479
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.58494
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.35776
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.48464
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.12276
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.61366
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.600364
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.945651
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.325105
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.744143
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.225457
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.782939
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.43115
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79807
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79834
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.06567
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.68068
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.79526
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.67875
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.83385
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.40227
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.90537
‘ (375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.612722
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.959217
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.340064
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.761774
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.247276
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.807565
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.46336
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84814
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86219
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1538
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.79564
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.02203
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.00929
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.19555
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.69087
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.624824
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.972506
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.354714
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.779033
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.268633
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.831683
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.49494
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89767
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92496
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24115
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.94387
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.25066
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.40716
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.51429
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.636666
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.98551
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.369057
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.795913
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.289521
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.858224
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.5259
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94662
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98656
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.32882
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.09739
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.48092
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.96118
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.60776
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.64824
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.998221
(375.55, 8.17, 342.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.383044
