¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ç(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.20422
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.420026
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.634574
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.861693
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.105973
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.369448
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.654387
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.963476
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.310032
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.615377
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.945467
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.701997
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.676086
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.651619
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.628572
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.606931
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.92854
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.549682
ã(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 10.26536
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.09878
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.08145
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.4041
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.38327
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.36464
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.3482
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.33394
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.32184
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.3119
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.3041
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.29844
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.29493
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.218164
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.422729
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.636009
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.863198
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.107604
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.371205
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.656319
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.965968
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.317959
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.62548
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.956355
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.758808
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.732706
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.708056
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.684837
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.663032
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.927012
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.547931
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 10.26333
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.09641
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.07864
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.45544
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.43452
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.4158
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.39929
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.38496
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.37279
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.36279
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.35495
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.34925
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.3457
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.220761
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.425504
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.637517
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.86481
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.109343
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.373084
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.658322
ğ(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.970409
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.322783
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.635909
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.967621
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.817697
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.791396
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.766557
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.743158
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.721183
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.925715
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.546444
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 10.26161
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.09439
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.07625
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.50933
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.48831
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.4695
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.4529
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.4385
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.42627
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.41621
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.40832
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.40258
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.39899
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.223384
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.42717
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.639091
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.866521
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.111163
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.375038
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.660453
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.974854
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.327656
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.646709
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.979289
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.878725
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.852218
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.827184
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.803599
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.781448
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.924648
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.545222
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 10.26019
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.09274
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.07428
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.56581
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.54468
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.52578
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.5091
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.49461
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.48232
Ú(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.4722
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.46425
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.45847
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.45485
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.226069
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.42871
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.640748
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.868288
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.113066
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.377115
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.662676
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.979434
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.33265
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.657819
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.991337
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.941959
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.915238
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.89
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.866223
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.843889
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.923812
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.544265
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 10.25909
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.09144
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.07274
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.62493
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.6037
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.5847
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.56792
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.55335
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.54098
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.5308
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.5228
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.51697
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.51331
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.228783
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.430321
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.642472
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.870173
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.115079
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.379269
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.665056
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.98405
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.337733
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.669279
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.003721
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.007464
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.98052
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.95507
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.931093
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.90857
å(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.923207
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.543571
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 10.25828
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.0905
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.07163
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.68674
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.66539
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.64629
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.62942
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.61476
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.60232
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.59207
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.584
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.57813
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.57443
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.231553
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.43203
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.64429
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.872098
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.117196
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.381555
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.667493
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.98875
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.342879
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.681134
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.016552
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.075312
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.048137
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.022468
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.998283
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.975563
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.954289
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.543142
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 10.25779
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.08992
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.07094
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.75129
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.72982
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.71061
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.69364
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.6789
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.66637
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.65605
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.64793
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.642
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.63826
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.234353
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.433793
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.646177
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.87416
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.119397
