¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¼(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.613554
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36675
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29872
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3453
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.39971
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.05562
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.83747
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.263999
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.256724
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.250843
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.246347
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.243233
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.241502
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.24115
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.242177
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.424862
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.595577
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.778089
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.973831
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.184253
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.844737
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.110461
¾(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.40057
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.716529
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.061899
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.440778
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.836144
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.271809
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.76977
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32701
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93749
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62366
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35165
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28189
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.30366
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.36354
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.0163
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.88596
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.312412
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.305098
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.299182
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.294662
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.291532
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.28979
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.289433
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.290465
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.422856
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.593298
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.775649
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.971212
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.181437
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.407997
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.106051
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.395723
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.711253
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.056132
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.434166
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.828865
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.263781
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.757488
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31164
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9177
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60127
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33709
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26545
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26285
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.32904
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.97874
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.95301
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.362737
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.355383
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.349435
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.344887
¤(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.341738
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.339986
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.339627
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.340663
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.420831
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.591094
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.773289
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.968678
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.178712
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.405057
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.649869
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.390983
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.706068
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.050488
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.427735
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.821829
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.255986
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.745454
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29435
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89824
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57928
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32308
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23546
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22284
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.29615
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.94299
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.02132
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.36899
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.22772
(397.09, 14.00, 247.34) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 11.51194
(397.09, 14.00, 247.34) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 10.72926
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.393901
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.392137
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.391775
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.392816
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.418837
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.588964
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.771008
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.966232
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.176079
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.402218
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.646808
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.38637
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.701015
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.044943
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.421533
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.814976
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.24846
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.733649
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2774
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87921
­(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55774
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30959
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2016
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18365
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.26489
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.91122
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.091
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.38758
(397.09, 14.00, 247.34) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 11.84819
(397.09, 14.00, 247.34) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 11.5577
(397.09, 14.00, 247.34) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 10.52168
(397.09, 14.00, 247.34) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 10.35727
(397.09, 14.00, 247.34) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 10.30078
(397.09, 14.00, 247.34) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 10.26188
(397.09, 14.00, 247.34) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 10.31992
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.416913
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.586907
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.768806
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.963869
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.173538
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.399477
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.643851
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.909604
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.696093
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.039541
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.415512
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.808365
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.241157
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.722078
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26076
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86054
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53662
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29667
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16836
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14529
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23519
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93901
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.16189
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.40823
(397.09, 14.00, 247.34) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 11.69145
(397.09, 14.00, 247.34) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 11.6056
(397.09, 14.00, 247.34) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 10.43706
(397.09, 14.00, 247.34) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 10.37816
(397.09, 14.00, 247.34) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 10.32145
(397.09, 14.00, 247.34) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 10.31251
(397.09, 14.00, 247.34) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 10.40689
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.415059
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.584927
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.766685
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.961592
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.171089
¨(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.396836
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.641
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.906508
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.69128
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.03428
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.409691
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.80195
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.234119
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.712116
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24444
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84226
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51593
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28088
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13583
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10771
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.20707
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.96824
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23413
(397.09, 14.00, 247.34) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 12.09232
(397.09, 14.00, 247.34) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 11.74226
(397.09, 14.00, 247.34) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 10.71027
(397.09, 14.00, 247.34) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 10.45985
(397.09, 14.00, 247.34) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 10.4007
(397.09, 14.00, 247.34) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 10.35066
(397.09, 14.00, 247.34) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 10.3983
(397.09, 14.00, 247.34) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 10.49693
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.413274
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.58302
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.764644
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.959402
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.168733
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.394206
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.638251
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.903527
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.192002
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.029157
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.404068
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.795774
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.227278
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.701306
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22847
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82432
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49567
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25779
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.104
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07091
(397.09, 14.00, 247.34) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 13.08421
(397.09, 14.00, 247.34) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 13.06812
(397.09, 14.00, 247.34) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 13.05403
