¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ç(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.207133
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.610083
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.715956
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31171
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06011
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07101
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.45963
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7499
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.42213
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.752606
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.145253
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.170387
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.697768
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29115
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04677
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0189
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40856
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.63507
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.406252
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.735207
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.683678
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.153706
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.679027
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26997
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03242
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96543
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.35458
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.5144
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.390185
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.259139
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.66829
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.136559
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.659769
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25334
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01696
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91059
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29779
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.38815
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.886064
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.251219
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.653208
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.118917
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.63999
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23906
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00047
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88609
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23829
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.28045
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.87853
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.242983
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.644074
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.100824
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.619688
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22388
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98288
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86554
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15856
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.1782
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.870707
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.234338
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.634558
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.082304
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.598927
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20785
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9643
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84344
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07502
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.07106
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.862566
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.225418
‚(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.624686
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.06614
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.577673
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19092
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94468
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79821
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98964
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95929
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.854118
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.216141
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.614455
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.054764
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.555914
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17308
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91506
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75213
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9131
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84316
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.845378
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.206505
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.60382
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.042994
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.533699
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15442
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8748
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70532
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86767
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72291
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.83634
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.196561
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.592846
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.030853
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.517351
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12016
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83389
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6578
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.82032
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.5988
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.827008
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.186297
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.58153
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.018267
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.500802
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08401
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79232
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60953
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77115
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.46973
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.817377
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.175721
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.569839
ÿ(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.004995
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.480349
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04797
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75017
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56061
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72015
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.31384
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.3246
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.807443
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.164843
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.557815
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.98631
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.459506
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02795
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7074
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.511
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66741
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18294
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.96031
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.797244
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.15362
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.542186
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.967251
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.438345
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0074
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66409
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46079
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.613
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07628
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.54834
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.786737
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.140862
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.52471
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.94794
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.418495
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.986251
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62854
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40995
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54349
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96714
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.10888
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.776011
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.124727
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.506954
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.928293
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.399277
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.964615
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60394
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35857
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46016
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.85569
ˆ(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.68263
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.761584
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.108396
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.488964
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.908355
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.379628
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.942417
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57869
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30665
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37618
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.74213
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.26938
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.746446
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.091754
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.470679
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.888157
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.359475
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.919663
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55289
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27171
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29157
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.62655
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.89268
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.731086
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.074942
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.45216
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.867702
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.338863
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.896447
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52651
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23316
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20642
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50924
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.55563
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.715513
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.057896
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.43341
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.846971
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.317795
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.872707
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49956
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19417
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12682
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39024
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30969
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.699716
