¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ƒ(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.359432
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.601094
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.867803
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.157748
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.474417
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.352186
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.752076
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.193627
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.683644
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23043
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84437
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53854
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32968
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23934
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.29628
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.53908
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.78732
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.76659
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.74811
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.73188
ş(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.71788
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.70609
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.69652
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.68915
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.68398
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.681
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.68021
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.535617
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.717929
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.914061
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.124597
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.351466
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.596811
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.863122
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.152646
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.468838
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.342587
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.741504
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.181905
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.670643
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21588
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82799
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51997
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30841
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21477
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26759
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.50514
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.87387
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.81685
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.7983
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.78201
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.76795
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.75611
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.7465
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.73909
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.73389
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.7309
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.7301
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.532737
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.714842
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.910564
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.120986
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.347567
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.592591
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.85851
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.14762
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.463338
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.333092
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.73106
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.170395
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.657777
 (330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20153
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81182
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50163
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28742
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19055
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23932
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.47174
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.75121
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.86969
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.85106
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.8347
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.82058
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.80869
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.79903
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.79159
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.78636
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.78334
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.78253
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.529898
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.7118
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.907115
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.117427
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.343726
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.588432
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.853964
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.142668
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.962436
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.323753
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.720759
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.159002
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.645149
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18737
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79592
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48357
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26676
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16675
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21148
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43457
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.63116
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.92514
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.90644
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.89
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.87581
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.86387
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.85417
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.84669
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.84143
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.83839
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.83756
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.5271
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.708802
û(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.903767
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.113921
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.339942
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.584334
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.849405
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.137788
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.95404
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.31454
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.710654
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.147777
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.632679
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17341
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7802
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46579
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24644
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14326
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18408
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3805
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.56666
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.98326
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.96447
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.94795
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.9337
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.92171
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.91195
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.90443
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.89914
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.89608
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.89524
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.524345
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.705849
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.900596
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.110468
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.336214
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.5803
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.845006
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.616992
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.945739
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.305458
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.700636
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.136714
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.62036
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15965
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76474
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44826
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2264
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12014
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.15715
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.32731
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.54496
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.04409
—(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.02521
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.00862
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.9943
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.98224
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.97243
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.96487
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.95955
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.95646
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.9556
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.521631
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.702942
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.897474
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.107069
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.332545
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.576327
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.840693
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.609501
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.937586
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.296494
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.690776
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.125838
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.608244
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14615
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74951
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43099
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20666
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09737
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13058
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.27492
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.52451
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.10768
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.08871
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.07203
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.05764
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.04552
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.03565
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.02805
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.02269
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.01958
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.01871
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.518961
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.700081
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.894403
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.103599
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.328933
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.572419
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.836449
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.602115
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.929521
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.287688
