¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ñ(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.851679
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.968591
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.235137
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.177504
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.041761
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.979181
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.947411
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.925539
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.904843
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.885286
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.866866
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.849567
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.833369
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.818258
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.804232
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.791278
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.779376
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.768529
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.758727
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.749956
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.742209
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.735484
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.730027
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.737448
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.765737
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.821793
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.934399
(327.32, 7.53, 367.06) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.18266
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.701353
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.280852
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.493755
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.722639
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.969308
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.235932
á(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.119015
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.009764
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.953092
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.923338
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.901492
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.880817
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.861271
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.842868
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.825572
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.809384
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.794281
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.780245
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.767287
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.75539
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.744528
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.73471
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.725918
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.718153
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.711414
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.705981
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.712892
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.739025
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.789743
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.883346
(327.32, 7.53, 367.06) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.26156
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.082956
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.281512
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.494461
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.723389
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.970113
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.236792
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.109273
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.003664
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.948001
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.918602
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.89671
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.875984
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.856411
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.837957
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.82062
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.804389
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.789248
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.775187
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.762181
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.750229
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.739327
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.729471
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.720633
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.712826
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.706034
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.700552
×(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.707379
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.733072
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.782754
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.873168
(327.32, 7.53, 367.06) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.34368
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.083607
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.282184
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.495211
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.724179
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.970997
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.237705
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.139084
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.021671
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.962931
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.932425
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.910429
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.8896
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.869926
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.851366
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.833938
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.817609
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.802367
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.788216
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.775118
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.763082
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.752096
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.742157
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.733243
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.725363
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.718498
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.712943
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.720013
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.746734
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.798873
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.897085
(327.32, 7.53, 367.06) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.42909
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.084293
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.282926
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.495984
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.725026
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.97191
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.238709
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.262759
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.069651
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.001006
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.967205
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.944997
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.923975
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.904103
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.885361
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.867765
Ù(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.851252
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.835853
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.82153
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.808282
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.796106
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.784987
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.774906
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.765865
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.757858
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.750882
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.745174
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.752983
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.782772
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.842879
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.975196
(327.32, 7.53, 367.06) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.51788
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.085044
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.283707
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.496828
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.725969
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.972915
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.239771
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.529071
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.180438
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.074313
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.030991
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.008299
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.986927
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.966713
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.94765
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.929739
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.912924
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.897237
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.882633
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.869133
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.856699
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.845328
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.835024
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.825746
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.817526
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.81035
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.804363
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.813984
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.851761
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.938281
(327.32, 7.53, 367.06) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.61234
(327.32, 7.53, 367.06) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.61012
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.085818
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.28458
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.497747
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.726928
¼(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.973937
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.240914
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.530305
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.845039
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.188492
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.160936
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.132006
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.109759
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.088681
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.0688
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.050122
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.03255
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.016139
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.000806
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.986641
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.973543
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.961567
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.950637
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.940778
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.932001
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.924291
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.917625
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.93448
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 7.022966
(327.32, 7.53, 367.06) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.71291
(327.32, 7.53, 367.06) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.70816
(327.32, 7.53, 367.06) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.70591
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.086669
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.285471
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.498702
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.727958
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.975052
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.242114
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.531638
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.846478
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.190058
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.566442
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.980463
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.438043
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.946357
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51414
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15245
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87517
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68786
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56807
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.57437
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.69006
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.84171
(327.32, 7.53, 367.06) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.9169
(327.32, 7.53, 367.06) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.89431
(327.32, 7.53, 367.06) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.8743
·(327.32, 7.53, 367.06) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.85686
(327.32, 7.53, 367.06) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.84195
