¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(337.29, 7.49, 330.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.56781
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.333625
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.379525
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.427121
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.490966
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.615682
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.745797
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.881632
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.375398
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.525861
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.552246
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.588606
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.626247
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.665215
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.705551
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.747307
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.792716
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.919158
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.053228
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.195608
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.351029
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.239013
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.216824
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.195841
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.176048
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.162552
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.203063
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.245121
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.28877
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.334048
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.381
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.498206
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.623172
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.753552
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.092787
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.463156
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.497201
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.532451
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.568945
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.606726
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.645836
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.686321
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.758231
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.88272
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.014667
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.154735
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.173602
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.150532
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.128671
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.107999
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.088503
ê(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.120932
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.160896
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.202393
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.24546
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.29014
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.386334
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.506457
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.631708
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.830203
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.410904
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.443925
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.478117
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.513518
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.550169
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.588109
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.627384
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.724524
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.847119
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.97701
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.114837
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.087983
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.06524
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.043692
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.02332
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.042787
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.080746
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.120186
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.161141
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.203653
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.279737
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.395295
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.515719
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.641292
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.360305
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.392348
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.42553
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.459889
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.495461
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.532287
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.577396
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.691577
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.812335
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.940233
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.075891
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.005424
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.982998
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.961751
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.968451
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.004489
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.041961
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.080896
