¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
â(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.11664
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.64232
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.63096
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.62224
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.61617
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.61271
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.6119
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.202478
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.412227
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.63769
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.880647
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.143172
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.427691
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.736985
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.07112
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.422052
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.806234
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.228615
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.715261
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2671
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85138
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46347
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14723
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.55617
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.53392
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.51347
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.4948
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.4728
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.73596
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.83968
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.82014
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.8033
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.78914
Ñ(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.77766
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.76884
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.76269
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.75918
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.75833
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.200959
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.410615
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.635926
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.878758
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.141121
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.425427
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.73456
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.067811
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.418409
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.802216
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.224194
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.711304
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26268
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85909
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46402
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1518
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.70619
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.68363
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.6629
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.64397
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.45262
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.71146
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.99219
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.97245
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.95544
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.94113
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.92952
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.9206
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.91436
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.9108
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.90991
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.199446
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.408955
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.634187
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.876875
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.139083
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.423243
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.732155
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.064543
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.41486
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.798362
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.219929
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.707463
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25836
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85984
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46482
â(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1565
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.86194
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.83907
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.81804
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.79885
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.43289
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.68751
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.15005
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.13012
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.11292
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.09846
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.08672
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.07769
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.07137
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.06775
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.06682
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.197957
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.407395
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.632481
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.87501
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.137072
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.421068
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.729784
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.061386
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.411409
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.794594
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.215784
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.703639
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25409
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8596
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46593
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16128
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.02373
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.00052
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.97919
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.95971
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.41362
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.66412
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.31348
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.29333
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.27595
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.26133
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.24945
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.24031
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.2339
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.23021
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.22925
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.196512
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.405804
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.63078
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.873214
Ó(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.135085
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.418931
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.727461
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.058338
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.408079
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.790945
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.21175
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.699871
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24991
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.854
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46737
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16622
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.19183
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.16827
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.14662
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.12686
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.39478
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.64128
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.48266
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.4623
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.44472
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.42994
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.41791
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.40866
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.40215
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.3984
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.39739
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.195072
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.40427
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.629116
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.87142
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.133186
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.416839
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.725187
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.055393
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.404845
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.787385
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.207834
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.696182
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24576
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8486
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46909
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17128
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06459
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.34266
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.32068
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.30061
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.3764
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.619
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.65782
