¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
­(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.20346
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.97827
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.9767
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.93248
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.812424
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.10936
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.43111
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.780774
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.162155
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.579632
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03857
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50974
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85228
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21959
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61446
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03998
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53229
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12743
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23925
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.8308
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.00907
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.98316
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.96001
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.93959
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.92189
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.90689
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.89459
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.88497
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.87803
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.87376
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.87217
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.82817
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.81464
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.111771
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.433722
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.783634
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.16525
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.583059
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0423
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47792
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81822
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18463
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61235
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07597
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58011
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11796
¹(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14367
(320.22, 7.02, 369.19) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 14.25062
(320.22, 7.02, 369.19) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 14.22868
(320.22, 7.02, 369.19) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 14.20893
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.85913
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.83878
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.82115
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.80619
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.79393
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.78433
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.77739
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.77311
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.77148
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.72769
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.816775
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.11407
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.436224
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.786328
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.168219
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.586301
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04593
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45452
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82425
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22279
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6536
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12074
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62765
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16648
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.04886
(320.22, 7.02, 369.19) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 14.10715
(320.22, 7.02, 369.19) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 14.08374
(320.22, 7.02, 369.19) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 14.0625
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.76199
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.74173
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.72415
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.70925
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.697
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.68742
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.68049
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.67619
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.67454
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.63095
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.818814
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.116286
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.438614
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.788964
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.171072
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.589454
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04935
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48804
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86028
½(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26165
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69564
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1663
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.67306
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21602
(320.22, 7.02, 369.19) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 13.74814
(320.22, 7.02, 369.19) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 13.72622
(320.22, 7.02, 369.19) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 13.70642
(320.22, 7.02, 369.19) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 14.11132
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.66853
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.64833
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.63081
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.61595
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.60374
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.59418
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.58724
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.58294
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.58126
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.53787
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.820759
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.118385
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.440887
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.79143
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.173802
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.592433
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05267
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5067
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8969
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30117
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73841
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.21272
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71939
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2665
(320.22, 7.02, 369.19) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 13.58137
(320.22, 7.02, 369.19) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 13.55724
(320.22, 7.02, 369.19) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 13.53521
(320.22, 7.02, 369.19) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 14.05637
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.57864
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.55851
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.54105
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.52623
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.51405
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.50451
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.49758
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.49326
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.49156
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.44836
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.822601
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.120403
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.443062
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.793791
»(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.176396
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.595296
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05292
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49985
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93419
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34139
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78193
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25999
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76662
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31803
(320.22, 7.02, 369.19) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 13.56884
(320.22, 7.02, 369.19) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 13.54472
(320.22, 7.02, 369.19) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 13.5227
(320.22, 7.02, 369.19) (348.08, 0.43, 383.34) (0.61, 0.87, 0.61) Tools 14.74785
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.49225
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.47219
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.45478
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.44001
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.42786
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.41832
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.4114
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.40707
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.40535
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.36236
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.824382
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.122308
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.445138
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.796066
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.178894
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.597987
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04672
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49305
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97212
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3823
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82624
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30513
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8148
(320.22, 7.02, 369.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37059
(320.22, 7.02, 369.19) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 13.72138
(320.22, 7.02, 369.19) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 13.69536
(320.22, 7.02, 369.19) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 13.67146
(320.22, 7.02, 369.19) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 14.07723
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.40928
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.38928
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.37193
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.35719
(320.22, 7.02, 369.19) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.34507
