¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
§(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.19538
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.106983
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.306515
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.520547
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.750656
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.998718
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.266807
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.557364
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.87345
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.21833
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.596192
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.01187
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.471282
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.98158
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55174
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18362
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83431
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56743
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39949
¿(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2721
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.24041
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.36509
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.72109
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.6997
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.68085
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.66452
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.65071
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.6394
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.63059
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.62427
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.62043
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.61907
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.106619
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.306142
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.520134
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.750212
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.99821
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.266226
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.556808
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.872804
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.217634
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.59542
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.011023
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.470365
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.980596
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55058
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17074
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81989
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55112
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38275
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23144
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.17977
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.47992
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.9477
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.92597
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.90681
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.89021
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.87616
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.86465
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.85567
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.84921
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.84527
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.84385
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.106288
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.305796
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.51976
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.749801
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.997793
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.265799
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.556321
´(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.872259
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.217046
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.59477
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.01032
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.469554
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.979692
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54962
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16124
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81472
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55147
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38828
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16123
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.09979
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.52557
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.18314
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.16105
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.14157
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.12469
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.11039
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.09867
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.08951
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.08291
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.07886
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.07737
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.105999
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.305501
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.519465
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.749482
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.997427
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.265378
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.555865
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.871788
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.216525
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.594225
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.009697
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.468872
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.97895
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54875
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16538
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81934
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55669
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36491
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.09242
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.02148
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.56989
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.42786
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.4054
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.38558
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.3684
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.35385
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.3419
°(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.33256
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.32581
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.32165
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.32007
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.105826
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.305267
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.519192
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.749196
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.997128
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.265067
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.555522
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.871393
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.216131
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.593759
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.009194
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.468317
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.978329
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54805
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1692
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82432
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56231
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33671
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.04403
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.94476
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.61291
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.68233
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.65948
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.63931
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.62183
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.607
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.59482
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.58528
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.57837
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.57409
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.57244
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.105632
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.305064
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.518995
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.748985
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.996881
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.264845
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.555267
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.871118
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.215799
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.593413
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.008795
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.467864
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.977845
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5475
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16468
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82966
Å(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56832
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30947
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01379
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86963
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.65455
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.94706
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.92381
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.90328
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.88547
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.87035
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.85793
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.84819
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.84111
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.83671
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.83497
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.105514
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.304944
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.518873
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.748825
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.996696
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.264643
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.555039
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.870894
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.215576
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.593147
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.008512
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.467559
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.977475
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54371
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16038
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83533
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57471
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28315
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.98454
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79604
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.69479
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.22261
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.19893
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.17802
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.15987
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.14446
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.13178
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.12182
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.11457
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.11003
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.1082
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.105448
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.304872
