¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
­(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.83739
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54769
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8932
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26023
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97092
(326.33, 7.38, 366.71) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 12.64173
(326.33, 7.38, 366.71) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 12.61814
¼(326.33, 7.38, 366.71) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 12.59652
(326.33, 7.38, 366.71) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 12.57685
(326.33, 7.38, 366.71) (348.08, 0.43, 383.34) (0.61, 0.87, 0.61) Tools 13.84856
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.90617
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.88937
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.87499
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.86299
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.85338
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.84614
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.84127
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.83877
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.83863
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.8001
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.772017
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.007991
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.262163
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.536557
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.83378
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.156647
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.508623
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.893722
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.316777
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.625637
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.910299
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21389
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53828
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88561
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25836
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91417
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68956
(326.33, 7.38, 366.71) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 12.75081
(326.33, 7.38, 366.71) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 12.72895
(326.33, 7.38, 366.71) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 12.70906
(326.33, 7.38, 366.71) (348.08, 0.43, 383.34) (0.61, 0.87, 0.61) Tools 13.85706
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.91035
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.89356
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.87917
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.86717
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.85755
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.85031
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.84544
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.84294
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.8428
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.80425
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.773209
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.009297
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.263525
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.538082
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.83541
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.158423
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.510566
­(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.895863
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.319116
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.618417
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.902628
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20571
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52953
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87628
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32484
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90341
(326.33, 7.38, 366.71) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.29533
(326.33, 7.38, 366.71) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.27377
(326.33, 7.38, 366.71) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.25411
(326.33, 7.38, 366.71) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.4179
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.93614
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.91692
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.90012
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.88572
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.87371
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.86409
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.85685
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.85198
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.84948
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.84934
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.81078
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.774411
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.01057
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.264892
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.539584
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.837034
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.160215
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.512488
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.897943
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.321431
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.6118
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.89557
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19818
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52154
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86772
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39584
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98206
(326.33, 7.38, 366.71) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.23094
(326.33, 7.38, 366.71) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.20853
(326.33, 7.38, 366.71) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.18801
(326.33, 7.38, 366.71) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.42472
(326.33, 7.38, 366.71) (348.27, 0.43, 382.73) (0.86, 0.87, 0.86) Tools 13.87411
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.775601
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.011861
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.266309
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.541069
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.838689
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.161988
š(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.514453
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.900091
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.323785
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.605779
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.889154
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19137
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51423
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91971
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46824
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06231
(326.33, 7.38, 366.71) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.28851
(326.33, 7.38, 366.71) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.26599
(326.33, 7.38, 366.71) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.24538
(326.33, 7.38, 366.71) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.43154
(326.33, 7.38, 366.71) (348.27, 0.43, 382.73) (0.86, 0.87, 0.86) Tools 13.88262
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.776808
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.013152
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.267707
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.542566
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.840282
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.163751
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.516365
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.902187
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.326118
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.600326
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.883385
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18522
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50767
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98972
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54206
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14418
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81139
(326.33, 7.38, 366.71) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 12.90352
(326.33, 7.38, 366.71) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 12.88205
(326.33, 7.38, 366.71) (347.66, 0.43, 382.71) (0.86, 0.87, 0.86) Tools 12.86257
(326.33, 7.38, 366.71) (348.27, 0.43, 382.73) (0.86, 0.87, 0.86) Tools 13.89114
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.778012
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.014441
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.269081
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.544082
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.841908
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.165536
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.518294
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.904328
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.328467
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.59547
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.878224
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1797
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54297
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06104
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61725
§(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22762
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.82392
(326.33, 7.38, 366.71) (348.27, 0.43, 382.73) (0.86, 0.87, 0.86) Tools 13.6747
(326.33, 7.38, 366.71) (348.27, 0.43, 382.73) (0.86, 0.87, 0.86) Tools 13.65118
(326.33, 7.38, 366.71) (348.27, 0.43, 382.73) (0.86, 0.87, 0.86) Tools 13.62978
(326.33, 7.38, 366.71) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.6693
(326.33, 7.38, 366.71) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.652
(326.33, 7.38, 366.71) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.63692
(326.33, 7.38, 366.71) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.62406
(326.33, 7.38, 366.71) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.6134
(326.33, 7.38, 366.71) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.60493
(326.33, 7.38, 366.71) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.59866
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.77918
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.015698
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.270462
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.545589
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.843539
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.167284
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.520208
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.90642
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.325769
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.591171
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.873675
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17483
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60874
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13366
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6939
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31274
(326.33, 7.38, 366.71) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.56367
(326.33, 7.38, 366.71) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.56932
(326.33, 7.38, 366.71) (347.20, 0.46, 381.79) (1.02, 0.61, 1.06) Tools 12.66631
(326.33, 7.38, 366.71) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.63158
(326.33, 7.38, 366.71) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.61212
(326.33, 7.38, 366.71) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.59489
(326.33, 7.38, 366.71) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.57987
(326.33, 7.38, 366.71) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.56706
(326.33, 7.38, 366.71) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.55644
(326.33, 7.38, 366.71) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.548
(326.33, 7.38, 366.71) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 14.54174
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.780367
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.016985
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.271855
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.547062
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.84515
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.169062
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.522143
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.90856
