¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ê (417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.722645
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.81676
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.01763
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.849741
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.836733
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.82479
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.813904
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.804066
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.795271
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.78751
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.780777
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.775068
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.633847
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.629161
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.625769
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.623665
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.622849
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.62332
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.625076
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.799026
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.778266
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.758512
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.88692
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64983
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40106
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94901
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60761
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.08389
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.27899
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.25458
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.23194
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.15661
ı (417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.00084
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.24341
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.899731
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.886631
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.874605
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.863643
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.853737
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.844881
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.837066
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.830287
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.702915
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.696896
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.692181
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.688766
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.686651
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.685833
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.686311
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.688087
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.794831
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.774085
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.754341
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.907566
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59109
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43302
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98423
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70022
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12931
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.27078
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.24638
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.22375
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.31871
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.18661
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.47171
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.951499
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.938304
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.926192
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.915151
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.905174
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.896255
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.888385
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.775629
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.768248
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.762188
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.757441
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.754005
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.751879
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.751059
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.751545
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.753338
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.79149
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.770751
æ (417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.751018
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.928183
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53117
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.33295
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.53666
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79189
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.15327
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.26424
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.23984
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.21722
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.48197
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.37403
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.70249
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.900666
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.886483
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.873666
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.862207
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.8521
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.843331
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.8359
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.829796
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.825018
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.82156
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.819422
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.8186
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.819094
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.820907
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.788998
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.768267
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.748539
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.948761
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47015
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.32805
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.58375
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88249
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17582
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.25936
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.23497
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.21236
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.64639
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.56309
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.93575
(417.64, 13.37, 328.50) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 14.65411
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.971191
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.9569
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.943988
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.932443
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.92226
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.913427
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.90594
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.899795
Ø (417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.894982
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.891502
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.889351
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.888527
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.88903
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.890862
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.787354
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.766627
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.746904
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.836816
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4081
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.32483
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.37929
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.34936
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.32127
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.25614
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.23176
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.20915
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.22693
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.20775
(417.64, 13.37, 328.50) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 14.97757
(417.64, 13.37, 328.50) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 14.96841
(417.64, 13.37, 328.50) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 14.84968
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.044204
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.0298
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.016788
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.005155
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.994893
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.985993
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.978451
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.972259
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.967413
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.96391
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.961745
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.96092
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.961432
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.963283
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.8691
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.113118
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.400284
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.896213
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34506
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55169
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12521
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06024
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26142
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70695
(417.64, 13.37, 328.50) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 14.94352
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.22164
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.9786
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.0992
Ä (417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.39825
(417.64, 13.37, 328.50) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 15.05898
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.119785
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.105268
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.092153
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.080427
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.070084
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.061116
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.053515
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.047276
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.042396
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.038867
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.036691
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.035864
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.036386
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.038256
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.895658
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.14147
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.453105
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.955697
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2811
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57808
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16039
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15355
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.32804
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.74734
(417.64, 13.37, 328.50) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 15.12965
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.36193
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.14628
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.38871
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.62286
(417.64, 13.37, 328.50) (437.02, 8.76, 291.31) (4.34, 2.79, 8.42) Truck 24.73832
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.198025
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.183388
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.170164
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.158344
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.147918
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.138878
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.131217
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.124932
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.120012
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.116461
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.114271
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.113442
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.113974
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 9.115867
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.922498
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.170097
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.505924
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.015294
