¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ã(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.601713
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.978516
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.351608
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.762664
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.217752
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.90118
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.776824
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.722276
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.700037
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.68233
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.666039
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.651098
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.637541
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.625362
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.614517
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.605018
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.596874
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.590023
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.584511
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.580351
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.577495
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.585947
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.628588
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.727187
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.897622
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.092586
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.301844
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.526992
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.769871
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.032624
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.317747
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.628107
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.967211
Ç(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.339205
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.748978
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.20256
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.626327
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.845315
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.777691
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.753727
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.737204
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.722085
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.708394
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.696065
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.685147
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.675578
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.667435
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.660628
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.655182
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.651095
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.648377
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.646996
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.658145
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.715025
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.891689
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.086214
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.294995
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.519629
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.761893
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.02398
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.30835
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.617894
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.956043
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.326916
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.735401
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.187478
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.555883
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.949934
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.902205
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.867597
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.853956
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.841902
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.831367
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.822444
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.81513
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.809389
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.80536
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.803044
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.802404
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.803578
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.806638
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.811766
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.843797
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 19.34646
œ(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 19.33657
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.885792
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.079892
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.288202
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.512278
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.754028
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.015425
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.299043
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.60774
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.944957
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.314711
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.721968
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.129443
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.486834
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.874964
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29777
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73735
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19708
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69974
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25159
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89239
(323.69, 7.67, 370.39) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.46088
(323.69, 7.67, 370.39) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.43427
(323.69, 7.67, 370.39) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.53352
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 19.28045
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 19.2534
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 19.22928
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 19.2081
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 19.18982
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 19.17443
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 19.16193
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 19.1523
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.879951
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.073644
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.281474
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.505066
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.746206
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.006978
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.289849
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.59773
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.933973
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.302649
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.708648
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.067017
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.419311
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.801617
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21783
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66363
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11679
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61193
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1552
¬(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07871
(323.69, 7.67, 370.39) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.29477
(323.69, 7.67, 370.39) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.28722
(323.69, 7.67, 370.39) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.38442
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 19.01732
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.9908
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.96719
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.94646
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.92859
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.91358
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.90141
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.89208
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.87414
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.067417
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.274813
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.497897
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.738453
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.998584
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.280737
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.58777
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.9231
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.290738
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.684689
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.005861
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.353189
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.72983
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13971
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58723
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03833
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52622
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06115
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07973
(323.69, 7.67, 370.39) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.13463
(323.69, 7.67, 370.39) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.14505
(323.69, 7.67, 370.39) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.2403
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.76405
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.73804
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.7149
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.6946
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.67713
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.66248
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.65062
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.64157
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.868396
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.061268
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.268183
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.490757
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.73075
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.990265
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.271714
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.577957
­(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.912335
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.278936
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.629113
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.945954
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.288432
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.659595
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06325
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50379
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96176
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44259
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96944
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00214
(323.69, 7.67, 370.39) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 14.98025
(323.69, 7.67, 370.39) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.0076
(323.69, 7.67, 370.39) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.10097
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.52016
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.49465
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.47196
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.45207
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.43498
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.42066
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.40911
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.40033
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.862737
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.055161
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.261635
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.483718
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.723155
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.982018
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.262779
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.568224
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.901681
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.267219
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.621685
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.897689
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.225022
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.590874
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.988544
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42222
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88697
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36097
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88891
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00068
(323.69, 7.67, 370.39) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 14.83511
(323.69, 7.67, 370.39) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 14.8747
(323.69, 7.67, 370.39) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 14.96628
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.28521
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.26016
(323.69, 7.67, 370.39) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.2379
