¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¾(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.052482
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.853188
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.955756
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.060468
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.170492
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.293736
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.453874
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.621792
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.789734
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.968936
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.166244
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.385538
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.596656
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.819905
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.066038
À(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.382286
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.018358
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.033799
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.780399
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.43676
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13536
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18892
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.44515
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.12597
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.47049
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.744816
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.860666
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.964644
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.069776
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.180246
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.298852
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.459322
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.628871
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.797266
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.976969
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.172761
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.392547
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.607212
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.831216
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.073486
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.362404
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.989457
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.850363
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.8195
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.48137
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18352
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24585
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.51357
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.21211
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.45051
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.8755
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.752115
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.868361
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.973853
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.079419
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.190352
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.307052
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.465007
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.636251
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.805121
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.985343
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.1796
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.399903
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.618229
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.843022
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.084719
É(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.370977
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.960659
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.671148
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.859393
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32247
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23258
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30399
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.58339
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.27257
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.43624
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.84464
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.759621
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.876272
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.983384
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.089398
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.200814
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.31803
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.470926
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.643069
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.813297
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.994062
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.187382
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.407607
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.629711
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.855328
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.097939
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.380044
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.931972
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.50289
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.900089
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37325
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28263
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36324
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.65474
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.32228
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.476
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.9292
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.767331
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.884401
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.993238
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.099719
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.211634
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.329386
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.477082
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.649642
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.821797
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.003125
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.197069
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.415661
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.641659
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.868135
Å(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.111701
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.389602
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.903399
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.520826
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.941595
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42585
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33364
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42373
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72758
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.37317
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.51541
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.775249
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.892749
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.003419
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.110382
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.222814
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.34112
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.483475
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.656467
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.830621
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.012537
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.207128
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.424066
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.654078
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.881448
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.126009
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.399654
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.874941
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.539336
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.983923
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47945
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38562
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48541
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.76157
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.42518
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.49142
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.783374
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.901317
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.013929
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.12139
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.234356
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.353238
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.490107
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.663548
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.839771
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.022297
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.217562
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.432822
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.66697
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.895271
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.140865
É(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.410205
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.846604
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.558425
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77243
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53406
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4484
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54828
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74271
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.38447
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.34644
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.791707
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.910104
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.024767
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.132745
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.246264
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.365739
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.496976
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.670883
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.849249
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.03241
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.228372
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.441933
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.680338
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.909607
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.156277
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.422361
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.818395
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.536425
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82136
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58967
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51332
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61243
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72496
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.25954
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.20416
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.800249
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.919113
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.03594
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.14445
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.258542
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.37863
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.505173
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.678474
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.859056
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.042873
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.239559
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.451398
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.693073
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.924459
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.172247
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.439578
È(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.790314
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.502898
