¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‚ (419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.07032
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.817137
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.821667
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.827521
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.834701
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.88744
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.49842
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.39739
(419.43, 13.71, 325.69) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 19.98553
(419.43, 13.71, 325.69) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 19.98899
(419.43, 13.71, 325.69) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 19.99543
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.726503
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.921215
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.920923
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.921963
Š (419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.924335
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.928041
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.933084
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.939469
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.947197
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.87646
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.48662
(419.43, 13.71, 325.69) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.57784
(419.43, 13.71, 325.69) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.69049
(419.43, 13.71, 325.69) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.80734
(419.43, 13.71, 325.69) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.9285
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.744509
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.034189
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.034371
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.035902
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.038783
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.043015
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.0486
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.055547
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.06386
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.86634
(419.43, 13.71, 325.69) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.0708
(419.43, 13.71, 325.69) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.10291
(419.43, 13.71, 325.69) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.20864
(419.43, 13.71, 325.69) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.31836
(419.43, 13.71, 325.69) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.50774
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.76256
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.072902
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.151984
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.154033
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.157454
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.162242
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.168408
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.17595
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.184878
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.294985
(419.43, 13.71, 325.69) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.15905
(419.43, 13.71, 325.69) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.0891
(419.43, 13.71, 325.69) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 18.02237
(419.43, 13.71, 325.69) (427.34, 7.53, 297.20) (1.52, 1.02, 0.98) Fence 17.95879
(419.43, 13.71, 325.69) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 23.51122
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.780686
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.092407
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.27395
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.276557
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.280548
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.285933
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.292707
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.300883
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.310466
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 9.327138
É(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.45691
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.42318
(419.43, 13.71, 325.69) (430.88, 7.28, 293.77) (0.69, 0.85, 1.40) Fence 23.79033
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.786741
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.111959
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.449649
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30432
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63943
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37857
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14711
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42426
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.66846
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.02362
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.46294
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.53331
(419.43, 13.71, 325.69) (431.00, 7.16, 292.20) (0.48, 0.85, 1.34) Fence 24.18204
(419.43, 13.71, 325.69) (431.00, 7.16, 292.20) (0.48, 0.85, 1.34) Fence 24.19181
(419.43, 13.71, 325.69) (431.00, 7.16, 292.20) (0.48, 0.85, 1.34) Fence 24.23367
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.779047
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.131586
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.470861
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23447
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5647
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46278
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03047
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30227
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58772
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82111
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.51258
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.64277
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.30062
(419.43, 13.71, 325.69) (431.00, 7.16, 292.20) (0.48, 0.85, 1.34) Fence 24.48681
(419.43, 13.71, 325.69) (431.00, 7.16, 292.20) (0.48, 0.85, 1.34) Fence 24.53039
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.770987
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.151276
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.492128
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16579
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49126
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83993
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91679
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18346
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46339
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.6221
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.56289
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.75145
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.41558
(419.43, 13.71, 325.69) (431.00, 7.16, 292.20) (0.48, 0.85, 1.34) Fence 24.79262
(419.43, 13.71, 325.69) (431.00, 7.16, 292.20) (0.48, 0.85, 1.34) Fence 24.838
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.762556
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.171013
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.513453
¸(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09827
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41909
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76262
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80605
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06771
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34233
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.42659
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.61398
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.85933
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.52889
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.753689
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.168624
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.534803
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03193
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34819
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6867
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69811
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95495
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22442
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50741
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.66575
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.96638
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.64043
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.744507
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.15843
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.570563
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.966676
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27852
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61213
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59291
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84512
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10962
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3873
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.71827
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.07766
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.74275
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.734899
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.147869
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.614395
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.902533
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21006
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5389
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49039
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73812
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9978
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.27035
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55663
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.20177
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.84157
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.724922
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.136876
³(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.559847
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.839512
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14282
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46699
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81427
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63384
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88893
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15655
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43751
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.3249
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.93896
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.714594
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.1255
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.513047
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.77755
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07673
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3964
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73867
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44878
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78285
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04567
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3216
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.44708
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.703884
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.113739
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.467008
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.727595
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01182
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32706
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6644
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24256
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59293
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93777
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20874
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4934
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.692829
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.101545
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.421733
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.681474
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.951498
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25895
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59154
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9648
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39789
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74186
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09895
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3785
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.681402
