¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ï(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.19921
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.978956
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.191106
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.419859
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.123444
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.410029
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.721871
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.062359
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.52968
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.54084
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.553164
… (433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.566659
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.581335
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.597205
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.61428
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.632575
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.652102
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.672878
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.01983
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.9959
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.97371
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.95323
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.93447
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.91739
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.90199
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.88825
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.87618
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.78064
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.77192
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.76481
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.75932
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.75544
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.968938
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.18032
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.408214
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.654589
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.395405
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.705919
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.044875
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.628602
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.640381
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.653343
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.667495
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.682847
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.699413
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.717203
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.736236
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.756523
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.77808
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.80794
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.78453
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.76283
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.74281
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.72446
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.71996
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.71786
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.71736
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.71845
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.72115
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.72545
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.73135
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.73887
ß(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.748
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.958942
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.169557
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.396594
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.64201
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.38083
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.690001
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.027515
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.397289
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.743651
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.757288
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.772132
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.7882
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.805501
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.82405
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.843863
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.864951
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.887332
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.89724
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.88706
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.87852
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.87161
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.86633
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.86268
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.86065
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.86024
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.86146
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.86429
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.86875
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.87484
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.88256
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.89192
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.948966
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.158817
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.385003
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.62946
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.894454
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.67417
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.010148
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.378229
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.850823
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.865174
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.880754
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.897578
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.915658
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.935007
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.955643
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.977579
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 8.000835
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.04539
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.03518
Ù(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.02663
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.01974
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.01449
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.0109
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.00895
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.00865
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.00999
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.01297
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.0176
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.02388
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.03181
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.0414
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.939016
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.148107
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.373442
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.61695
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.88087
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.658338
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.992869
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.359293
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.962092
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.977197
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.993557
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 8.011183
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 8.030087
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.2573
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.24022
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.22487
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.21124
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.1993
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.18906
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.18051
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.17363
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.16843
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.1649
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.16304
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.16285
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.16432
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.16746
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.17226
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.17875
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.18691
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.19675
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.929088
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.137422
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.361912
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.604474
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.867328
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.153086
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.97565
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.340385
å(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.741398
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.184422
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.676218
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22532
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82385
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.4176
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.40041
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.38496
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.37125
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.35927
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.349
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.34045
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.3336
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.32844
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.32498
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.32322
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.32314
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.32475
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.32806
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.33305
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.33975
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.34815
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.35826
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.919187
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.126767
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.350417
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.592036
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.853829
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.138387
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.958487
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.32156
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.720694
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.161454
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.650649
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19671
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79436
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44024
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.56696
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.55142
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.53763
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.52561
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.51532
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.50676
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.49994
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.49484
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.49145
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.48979
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.48983
