¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ğ(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 19.64872
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.9399
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.9384
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.24506
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.85018
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.78264
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 19.99344
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 19.9681
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 19.96081
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 19.85189
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 19.84531
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 19.7186
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 19.72089
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.874613
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.070978
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.28005
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.505044
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.747618
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.004149
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.281785
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.582522
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.905262
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.257283
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.65687
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.097472
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.57747
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11183
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.70406
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.36475
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.10136
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.93345
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.88728
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.98705
€(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.15427
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.74162
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.6397
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.05293
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.02245
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.01678
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 19.92807
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 19.92146
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 21.8735
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 19.79426
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 19.79656
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.866561
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.062294
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.270718
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.49499
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.736666
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.992306
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.268891
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.568384
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.889847
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.240343
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.638732
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.075787
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.553647
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.08445
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.67332
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.32938
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.06294
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.8884
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.83551
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.92493
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.0651
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.63511
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.49973
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.13453
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.10289
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.09646
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.00783
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.0012
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.95895
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 19.87348
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 19.87579
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.858552
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.053674
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.261457
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.485014
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.725818
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.980576
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.256127
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.554404
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.874608
ğ(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.223599
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.620753
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.05436
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.530087
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.05741
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.64298
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.29453
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.02504
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.84405
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.78455
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.86384
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.98797
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.53063
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.36278
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.23803
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.21078
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.20232
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.09125
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.08458
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.12102
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 19.95633
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 19.95864
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.850589
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.045119
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.252267
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.475117
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.715077
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.968964
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.243491
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.540586
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.859546
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.20706
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.602939
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.033192
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.506795
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.0307
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.61302
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.26018
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.98766
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.80048
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.73443
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.80379
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.01116
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.42812
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.22867
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.32769
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.774
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 22.03168
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.17838
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.17169
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.04355
Í(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.04288
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.0452
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.84267
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.03663
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.243148
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.465298
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.704441
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.957468
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.230986
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.526928
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.844661
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.190718
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.585284
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.012282
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.483768
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.00434
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58344
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.22633
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.95018
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.75789
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.68511
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.74476
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.93742
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.32762
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.09743
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.21793
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.61688
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 21.23152
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.6393
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.13387
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.1332
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.13553
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.834798
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.028208
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.234104
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.455559
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.693913
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.946088
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.218613
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.513432
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.829956
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.174579
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.567796
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.991632
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.461006
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.978311
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.55426
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.19298
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.91313
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.71596
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.6366
Ô(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.68673
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.86511
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.22901
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.97144
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.05098
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.43589
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.22804
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.22737
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.22971
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.826972
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.019854
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.225132
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.445901
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.683493
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.934826
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.206372
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.500096
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.815399
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.158641
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.55047
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.971242
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.438511
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.952619
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.52547
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.16012
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.87666
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.6747
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.58889
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.62971
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.79418
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.14681
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.86257
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.88794
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.25803
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.32615
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.32547
(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.32782
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.819195
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.011569
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.216237
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.436325
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.67318
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.923683
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.194264
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.486924
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.801003
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.142905
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.533312
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.951113
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.416283
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.927268
Ò(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.49706
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.12777
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.84076
