¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‘ (403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.952417
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.404667
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.67404
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.968151
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.290519
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.64652
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.040339
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.477299
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.963568
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.507576
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.11338
„ (403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.7825
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.53764
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.46319
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.66425
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.85132
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.5747
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.4584
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.82869
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.1078
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.351519
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.530899
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.725283
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.934745
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.161071
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.40714
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.676734
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.9711
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.293756
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.649874
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.044057
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.482342
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.96922
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.5169
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.12571
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.80986
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.56904
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.49183
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.67209
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.88502
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.57879
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.4635
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.83517
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.12724
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.35306
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.532843
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.727374
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.937001
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.163512
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.409636
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.679454
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.974075
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.297023
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.653255
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.047806
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.486588
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.974925
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.523338
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.13815
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.83169
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.6008
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.52075
÷(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.68005
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.91909
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.58319
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.46896
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.84214
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.14138
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.354633
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.53481
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.72949
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.939285
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.165983
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.412153
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.682199
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.977076
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.300318
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.656663
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.051586
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.490804
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.980678
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.529832
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.15071
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.84606
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.63291
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.54997
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.68813
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.95352
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.58789
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.4748
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.84959
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.15129
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.356237
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.536798
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.731631
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.941594
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.168482
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.41469
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.684963
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.9801
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.303642
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.660101
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.0554
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.495054
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.986484
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.536386
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.15959
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.86056
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.6623
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.57947
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.69633
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.98832
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.5929
ï(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.48101
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.85751
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.16183
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.357873
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.538809
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.733795
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.943928
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.171007
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.41725
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.687752
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.983152
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.306994
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.663566
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.059242
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.49934
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.9917
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.542995
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.16711
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.87519
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.83486
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.78159
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.72462
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.02348
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.5982
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.4876
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.86591
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.17301
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.35954
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.540842
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.735982
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.94629
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.173561
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.419895
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.690566
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.98623
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.310374
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.667261
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.063115
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.503659
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.996548
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.673363
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93822
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67129
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51169
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50852
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72726
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.80513
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.60381
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.49457
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.87544
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.18483
ñ(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.361237
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.542895
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.738192
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.948674
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.176142
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.422695
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.693398
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.989328
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.313779
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.671019
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.067016
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.50801
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.723303
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29532
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94059
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67402
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51485
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.51536
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.73541
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.12173
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.62923
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.50191
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.88938
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.19729
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.363161
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.544971
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.740426
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.951084
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.17875
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.425525
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.696256
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.992454
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.317211
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.674806
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.110205
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.214571
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.72527
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29755
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94312
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67687
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51814
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5223
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74369
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.12719
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.77473
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.1322
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.90484
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.21039
(403.75, 7.39, 366.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.365113
