¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
› (442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.934069
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.10083
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.08071
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.06217
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.04519
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.02977
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.01588
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.00353
Ÿ (442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.992697
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.983374
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.975556
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.969238
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.964415
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.961081
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.959235
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.906157
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.756481
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.734874
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.714405
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.695055
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.676812
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.659657
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.64358
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.628568
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.614609
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.601691
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.589805
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.578943
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.569095
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.560254
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.552967
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.20373
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.1834
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.16467
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.14752
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.13194
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.11791
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.10542
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.09448
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.08506
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.07716
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.07077
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.0659
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.06253
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.06066
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.00704
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.61038
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.589076
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.568886
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.549794
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.531785
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.514843
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.498958
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.484115
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.470303
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.457512
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.445731
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.434953
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.425167
› (442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.416368
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.56991
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.3103
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.28976
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.27083
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.2535
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.23775
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.22357
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.21096
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.19989
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.19037
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.18239
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.17593
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.171
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.16759
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.11189
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.11152
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.471385
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.450373
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.430456
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.411615
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.393836
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.377104
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.361407
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.346731
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.333067
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.320402
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.308727
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.298036
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.288315
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.279561
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.44311
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.4207
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.39994
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.3808
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.36328
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.34736
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.33302
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.32027
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.30909
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.29946
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.29139
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.28486
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.27988
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.27643
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.22013
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.33901
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.318285
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.298634
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.280037
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.262482
 (442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.245956
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.230444
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.215935
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.202416
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.189878
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.17831
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.167706
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.158053
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.149349
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.55774
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.53508
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.51408
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.49473
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.47702
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.46092
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.44643
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.43353
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.42222
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.41248
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.40432
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.39772
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.39267
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.38919
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.33226
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.353318
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.326368
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.300584
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.275941
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.25242
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.230001
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.208665
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.188397
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.169178
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.150992
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.133826
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.117667
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.102501
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.128742
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.67652
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.6536
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.63237
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.6128
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.59488
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.5786
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.56394
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.55089
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.53945
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.5296
