°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
®!(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.83342
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.146241
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.40735
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.692671
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.005682
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.350559
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.732364
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.157289
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.632998
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.171762
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.830576
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.76144
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.82173
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.97325
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.611506
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.691841
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.776704
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.866152
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.960544
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.060282
∞!(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.165812
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.277628
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.396286
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.522411
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.656701
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.799949
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.953053
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.117034
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.293062
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.482481
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.686839
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.907938
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.14788
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.409133
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.694619
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.007822
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.352916
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.734975
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.160198
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.636256
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.172305
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.819287
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.74068
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.73604
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.87913
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.612206
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.69258
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.777481
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.866968
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.961405
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.061191
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.16677
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.278643
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.397362
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.523551
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.657915
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.801242
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.954433
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.118511
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.294646
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.484183
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.688674
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.909923
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.150033
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.411477
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.697181
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.01063
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.356011
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.738403
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.164015
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.640535
®!(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.177587
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.809313
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.71848
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.65631
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.80108
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.613076
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.693495
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.778441
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.86798
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.962471
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.062314
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.167957
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.279899
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.398693
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.524966
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.659418
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.802843
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.956141
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.120339
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.296607
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.486291
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.690948
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.91238
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.152699
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.414378
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.700351
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.014108
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.359846
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.74265
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.168746
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.645839
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.183572
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.801876
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.65071
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.59411
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.72612
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.614115
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.694586
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.779588
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.869186
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.963741
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.063655
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.169374
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.281398
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.400281
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.526652
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.66121
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.804753
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.958181
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.122521
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.298948
§!(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.488808
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.69366
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.915314
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.155881
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.417841
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.704136
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.018261
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.364422
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.747721
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.174395
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.652171
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.19072
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.80232
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.59807
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.53436
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.65417
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.615324
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.695853
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.78092
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.870587
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.965217
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.065212
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.17102
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.283137
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.402126
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.52861
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.663292
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.806972
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.96055
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.125056
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.301665
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.491731
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.696812
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.918722
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.159578
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.421866
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.708533
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.023087
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.369742
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.753613
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.180959
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.65953
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.199028
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.812914
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.56339
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.49374
