¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ú(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.29288
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.70038
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.44803
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.30997
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.67027
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.06029
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.88288
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.10806
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.91828
(341.68, 6.99, 311.91) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 23.82782
(341.68, 6.99, 311.91) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 23.97669
(341.68, 6.99, 311.91) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 23.10191
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.072787
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.271265
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.484086
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.712962
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.961729
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.236878
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.535802
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.861711
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.218378
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.6049
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.038481
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.545785
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.00394
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07922
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.66911
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.41217
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.26843
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.651
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.03687
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.84337
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.07064
(341.68, 6.99, 311.91) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 22.10521
(341.68, 6.99, 311.91) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 22.73866
(341.68, 6.99, 311.91) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 22.70202
(341.68, 6.99, 311.91) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 21.83792
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.069904
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.268181
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.480803
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.709401
Ï(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.956975
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.231683
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.530187
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.85556
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.21163
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.602481
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.032606
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.539175
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.76983
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.00558
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.63808
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.3766
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.22726
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.63164
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.01334
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.80363
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.03308
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.47405
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.0671
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.265161
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.477561
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.705924
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.952254
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.226582
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.5246
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.849476
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.204937
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.595502
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.026701
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.532609
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.577999
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.976051
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60279
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.34133
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.18645
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.61219
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.98971
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.76366
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.9954
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.42071
(341.68, 6.99, 311.91) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 23.51876
(341.68, 6.99, 311.91) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 23.78729
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.064345
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.262193
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.474377
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.702493
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.948348
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.221481
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.519058
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.843439
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.198336
Ğ(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.588238
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.020808
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.320711
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.415622
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.946839
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.54709
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.30637
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.14602
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.59265
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.96598
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.72348
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.95759
(341.68, 6.99, 311.91) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 23.07967
(341.68, 6.99, 311.91) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 23.05055
(341.68, 6.99, 311.91) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 23.34392
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.061603
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.259284
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.471256
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.699143
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.94473
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.216474
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.513604
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.837482
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.191812
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.581033
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.015679
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.087833
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.38848
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.919357
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.51454
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.27171
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.10594
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.57304
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.94217
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.68309
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.91968
(341.68, 6.99, 311.91) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 22.63239
(341.68, 6.99, 311.91) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 22.60392
(341.68, 6.99, 311.91) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 22.91985
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.05895
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.256415
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.468208
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.695841
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.941164
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.211487
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.508172
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.831557
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.18534
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.575991
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.825649
