¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
†(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.001194
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66528
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59788
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.63031
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.77046
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.05598
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.0755
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.22555
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.75689
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.63906
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.435083
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.672511
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.929204
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.213081
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.518377
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.376468
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.744882
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.148632
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.616337
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13609
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70049
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28924
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95686
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71262
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57252
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49885
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.52993
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.60958
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.90954
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.95009
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.78111
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.71277
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.415445
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.651309
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.906245
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.186121
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.488977
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.343722
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.709076
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.109322
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.567919
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08215
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64351
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22944
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88251
Ÿ(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6284
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47631
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40129
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43116
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.50998
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.74899
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.82806
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.60407
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.67109
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.395883
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.630191
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.883386
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.157797
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.957535
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.311216
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.673528
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.070295
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.51993
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02872
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58434
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17034
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81499
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54527
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38149
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.30525
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.33226
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.41266
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.4933
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.70929
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.47517
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.63179
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.376396
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.609161
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.860627
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.133093
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.928061
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.278955
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.63828
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.03163
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.472318
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.975726
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52579
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11188
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74946
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46653
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28803
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21061
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.22339
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.31748
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.2451
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.69856
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.34974
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.97995
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.356988
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.588223
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.837973
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.579335
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.898775
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.246952
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.603299
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.993254
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.425097
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.923177
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46784
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05412
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6847
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39353
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19597
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1174
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.11626
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.21955
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.0363
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.71767
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.35419
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.04034
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.337663
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.567377
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.815425
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.552597
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.869592
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.215151
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.568626
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.955243
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.379833
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.871146
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4105
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99702
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62072
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32138
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11407
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0219
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01089
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.11314
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.93589
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.47277
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.37667
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.06277
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.31842
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.546627
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.236645
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.52595
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.840603
¯(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.183601
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.534185
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.917511
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.338371
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.819578
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3538
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93544
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55751
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25019
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03325
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92548
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.90716
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.00854
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.83785
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.99956
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.40129
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.10803
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.299265
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.525977
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.212234
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.499477
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.811721
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.152353
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.500059
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.880121
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.29724
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.768515
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29769
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87269
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49508
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17991
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95354
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83432
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80203
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.90572
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.74207
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.73785
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.42793
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.21633
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.280199
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.505426
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.187946
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.473076
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.782999
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.121001
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.466208
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.843079
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.256487
