¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Œ(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 21.87629
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 21.45079
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.783757
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.968896
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.167287
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.380312
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.609571
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.856988
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.124759
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.414485
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.725641
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.065336
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.296267
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.52984
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.778305
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.053681
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.39675
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.768375
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17217
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74308
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74556
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80278
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.18131
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.82791
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.85087
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.70233
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.67514
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.6511
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.63019
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.6124
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.64853
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 21.14413
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 21.2713
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.780998
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.965994
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.164156
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.376934
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.605923
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.853057
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.1205
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.410838
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.723388
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.054317
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.273032
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.505201
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.773686
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.094215
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.440513
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.815774
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24755
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84055
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61961
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77264
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.15868
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.8004
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.81674
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.7768
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.4882
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.38133
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.44068
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.60305
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.50928
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.90189
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.97739
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.778306
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.963097
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.161077
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.373636
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.602389
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.849242
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.116353
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.406314
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.721233
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.033051
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.250471
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.51198
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.812157
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.135649
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.485304
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.864294
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33648
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9403
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62088
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74296
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.1366
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.77357
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.78346
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.30963
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.71449
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.60539
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.6526
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.60904
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.55724
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.66819
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.69455
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.775717
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.960332
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.158105
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.37043
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.598917
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.845459
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.112294
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.401907
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.717285
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.01237
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.266954
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.5486
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.851521
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.178061
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.531116
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.913988
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42747
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04247
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7364
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71377
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.11068
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.74743
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.75104
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.26838
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 21.01256
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.99177
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.68533
’(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.22682
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.1864
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.854
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.77318
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.957607
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.155179
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.367287
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.59553
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.841813
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.108334
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.397604
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.712597
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.037024
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.30185
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.586017
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.891714
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.221411
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.577985
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.964784
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52051
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14707
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85484
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68507
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.0762
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.72197
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.71948
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.22823
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.52056
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.44391
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.38803
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.33548
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.21564
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.17527
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 21.08554
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.77068
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.95496
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.152309
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.36422
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.59224
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.838263
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.104497
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.393428
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.708031
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.033867
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.337435
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.624219
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.932809
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.265738
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.625916
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0472
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61568
 (324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25415
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82977
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.65682
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.05303
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.69719
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.68876
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 22.14506
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 22.11679
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.66993
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.65564
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.64445
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.23101
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 21.25419
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 21.32551
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.768254
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.952353
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.14956
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.361241
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.589034
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.834793
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.100755
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.389326
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.703572
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.025434
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.365379
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.663225
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.97477
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.311027
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.674931
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13418
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71305
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30098
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77121
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.62904
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.03819
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.67308
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.6589
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.15121
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 21.24513
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.63719
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.61719
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.6003
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.51654
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.43846
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 20.49827
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.765903
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.949821
