¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Û(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.81992
(432.35, 14.48, 321.78) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 14.68178
(432.35, 14.48, 321.78) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 14.68241
(432.35, 14.48, 321.78) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 14.68522
(432.35, 14.48, 321.78) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 14.69024
(432.35, 14.48, 321.78) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 14.69745
(432.35, 14.48, 321.78) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 14.70686
(432.35, 14.48, 321.78) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 14.71849
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.643991
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.898914
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.175294
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.475904
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.804023
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.163534
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.559112
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.588984
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10685
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68553
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33631
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 10.85818
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 10.82695
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 10.81538
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 10.85383
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 10.89418
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 10.93648
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 11.01803
(432.35, 14.48, 321.78) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 14.9048
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.52772
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.49236
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.4603
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.43154
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.40605
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.3838
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.36478
Ã(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.34899
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.33639
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.27202
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.63261
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.886591
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.161909
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.461317
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.788066
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.14601
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.539781
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.566128
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08138
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65701
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30412
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 10.93152
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 10.96797
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 11.00632
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 11.04659
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 11.08881
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 11.13303
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 11.17927
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.95526
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.36262
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.32757
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.29581
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.26732
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.24206
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.22003
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.20121
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.18558
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.17313
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.10929
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.621185
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.874222
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.148473
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.446679
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.772058
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.128433
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.520397
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.953482
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05588
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62844
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27186
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 11.12715
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 11.16544
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 11.20567
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 11.24788
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 11.2921
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 11.33836
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 11.38672
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.82906
¸(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.20318
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.16844
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.13696
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.10872
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.0837
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.06188
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.04324
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.02777
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.01546
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.00629
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.609716
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.861806
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.134992
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.431991
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.755997
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.110805
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.500961
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.93195
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03033
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59977
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23956
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96343
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 11.3717
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 11.41395
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 11.45824
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 11.50459
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 11.55305
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 11.60365
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.70427
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.04923
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 21.01479
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.98358
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.95559
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.93079
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.90917
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.89071
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.87539
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.8632
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.85415
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.598207
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.849349
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.121468
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.417263
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.739893
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.09313
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.481479
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.910374
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.386427
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57108
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2072
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92667
Ê(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 11.58732
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 11.63173
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 11.67823
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82098
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.16174
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.75382
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.58087
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.90061
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.86645
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.8355
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.80774
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.78316
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.76174
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.74344
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.72828
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.71622
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.70727
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.586659
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.836854
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.107904
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.402489
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.723747
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.075413
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.461953
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.888753
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.362361
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54233
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17483
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88993
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69437
(432.35, 14.48, 321.78) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 12.58563
(432.35, 14.48, 321.78) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 12.55243
(432.35, 14.48, 321.78) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 12.52127
(432.35, 14.48, 321.78) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 12.49212
(432.35, 14.48, 321.78) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 12.46497
(432.35, 14.48, 321.78) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 12.43979
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.75716
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.72327
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.69257
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.66505
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.64067
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.61943
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.6013
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.58627
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.57434
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.56549
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.575077
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.824318
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.094301
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.387679
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.70756
Ä(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.057654
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.442388
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.867095
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.33826
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.863864
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1424
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85312
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65044
(432.35, 14.48, 321.78) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 12.48385
(432.35, 14.48, 321.78) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 12.45096
(432.35, 14.48, 321.78) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 12.42009
(432.35, 14.48, 321.78) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 12.39121
(432.35, 14.48, 321.78) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 12.40454
(432.35, 14.48, 321.78) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 12.45509
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.61872
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.58509
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.55464
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.52734
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.50316
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.4821
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.46412
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.44924
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.43742
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.42866
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.56346
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.811751
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.080664
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.372832
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.69134
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.039862
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.42279
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.845406
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.314129
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.836862
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10997
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81634
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60665
(432.35, 14.48, 321.78) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 12.43505
(432.35, 14.48, 321.78) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 12.4788
(432.35, 14.48, 321.78) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 12.52474
(432.35, 14.48, 321.78) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 12.57291
(432.35, 14.48, 321.78) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 12.62333
(432.35, 14.48, 321.78) (440.10, 7.42, 294.25) (0.59, 0.85, 1.38) Fence 12.67606
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.48516
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.45179
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.42157
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.39448
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.3705
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.34961
(432.35, 14.48, 321.78) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 20.33179
