¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
˜ (441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.057186
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.88962
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.87123
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.85481
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.84034
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.82782
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.81723
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.80858
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.80184
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.79702
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.74838
(441.93, 14.52, 257.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.818502
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.063519
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.037849
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.013408
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.990176
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.968134
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.947264
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.92755
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.908974
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.891525
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.875188
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.85995
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.845797
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 8.951398
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 8.930362
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 8.910751
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 8.892552
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 8.87575
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 8.860329
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.99165
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.97113
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.9526
– (441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.93606
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.92148
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.90887
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.8982
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.88947
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.88267
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.8778
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.82883
(441.93, 14.52, 257.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.826118
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.005638
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.980147
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.955873
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.932801
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.91091
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.890182
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.870598
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.852147
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.83481
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.818578
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.803435
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.789371
(441.93, 14.52, 257.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05716
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.21041
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.17942
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.15055
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.12375
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.09901
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.07631
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.05564
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.03698
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.02031
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.00562
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.9929
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.98214
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.97333
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.96647
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.96156
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.91225
(441.93, 14.52, 257.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.833673
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.94971
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.924392
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.900284
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.877366
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.85562
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.835027
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.815573
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.797241
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.780015
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.763884
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.748836
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.793503
˜ (441.93, 14.52, 257.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09704
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.29917
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.26795
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.23886
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.21186
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.18694
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.16407
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.14324
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.12443
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.10763
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.09282
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.08
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.06915
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.06027
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.05334
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.04837
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.99872
(441.93, 14.52, 257.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.841193
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.895676
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.870527
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.846577
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.82381
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.802204
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.781744
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.762414
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.744196
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.727078
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.711047
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.696087
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.813959
(441.93, 14.52, 257.48) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.974284
(441.93, 14.52, 257.48) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.959821
(441.93, 14.52, 257.48) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.946453
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.33038
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.30317
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.27806
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.25501
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.23402
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.21506
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.19812
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.18319
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.17025
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.15931
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.15035
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.14335
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.13833
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.08831
(441.93, 14.52, 257.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.848665
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.843477
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.81849
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.794694
 (441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.77207
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.750602
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.73027
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.71106
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.692955
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.67594
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.660004
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.645133
(441.93, 14.52, 257.48) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.978882
(441.93, 14.52, 257.48) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.963337
(441.93, 14.52, 257.48) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.948895
(441.93, 14.52, 257.48) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.935546
(441.93, 14.52, 257.48) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 7.384774
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.39777
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.37246
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.34922
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.32806
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.30894
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.29186
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.27681
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.26376
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.25272
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.24367
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.2366
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.23152
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.18113
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.82913
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.794432
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.768223
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.744577
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.722095
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.700758
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.680551
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.661457
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.643459
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.626546
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.610703
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.595918
(441.93, 14.52, 257.48) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 7.741315
(441.93, 14.52, 257.48) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 7.677536
(441.93, 14.52, 257.48) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 7.615921
(441.93, 14.52, 257.48) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 7.556409
(441.93, 14.52, 257.48) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 7.498926
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.49576
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.47024
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.44682
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.42547
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.40619
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 13.38897
