¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ò(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 15.51038
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.548531
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.798915
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.070302
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.365409
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.687411
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.040095
² (393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.428067
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.866302
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.388117
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.971621
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60537
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32699
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15592
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11783
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20475
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.16059
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.13098
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.10345
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.07799
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.05457
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.03318
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.01379
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.9964
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 14.1518
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.53269
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.51255
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.49448
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.47847
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.882582
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.087774
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.303996
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.534626
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.783887
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.054006
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.347646
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.667982
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.018827
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.404585
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.837709
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.355992
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.931659
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56007
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2752
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09617
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04813
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11766
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.02202
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.99283
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.96569
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.94059
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.91752
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.89645
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.87737
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.86026
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 14.00953
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.30448
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.30255
‚ (393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.3026
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.30463
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.872951
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.077425
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.29119
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.520843
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.768957
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.037793
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.330009
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.648753
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.997693
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.381263
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.809273
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.324007
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.891986
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51514
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22389
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03698
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97919
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0318
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.88826
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.85946
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.8327
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.80796
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.78521
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.76445
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.74566
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.72882
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.93845
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.37159
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.36965
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.3697
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.37175
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.863395
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.066211
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.278465
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.507146
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.754123
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.021711
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.312515
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.629597
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.976682
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.358179
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.780922
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.29218
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.852668
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47063
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17304
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97842
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91098
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94709
· (393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.81266
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.7995
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.78827
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.77897
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.77158
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.7661
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.7957
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.87307
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.87016
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.44139
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.43944
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.43949
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.44155
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.853852
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.054452
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.265848
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.493501
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.739403
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.005726
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.295103
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.610594
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.955847
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.335233
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.753964
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.260527
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.813659
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42646
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12267
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9204
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8435
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.86357
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.00891
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.99564
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.98433
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.97498
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.96758
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.96211
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 12.9809
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.06065
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.88093
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.51396
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.512
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.51205
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.51412
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.844352
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.042763
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.253269
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.479989
