¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.15759
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.09071
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.07137
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.32035
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.62051
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.02026
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.01782
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.10468
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.0931
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.0845
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.07856
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.07414
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.07122
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.0698
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.06989
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.07149
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.07458
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.0792
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.08668
‚ (379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.06714
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.348021
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.14915
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.467963
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.814055
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.173284
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.564425
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.991977
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.25704
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.20847
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.16646
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.13006
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.10129
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.08037
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.06208
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.04876
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.93981
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.48583
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.964293
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.06199
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.05084
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.0434
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.03746
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.03303
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.0301
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.02866
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.02873
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.03029
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.03335
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.03791
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.04446
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.0219
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.865112
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.160437
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.480225
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.826273
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.186478
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.578813
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0077
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.25373
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.20435
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.15986
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.12347
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.09588
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.07452
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.05966
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.04635
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.89789
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.87421
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.924854
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.17246
ş(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.01155
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.00411
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.998175
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.993735
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.990792
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.98934
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.98938
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.99091
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.993933
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.998451
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.00447
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.979622
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.875504
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.17174
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.492449
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.838383
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.199634
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.593184
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02343
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.25377
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.2041
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.16062
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.12044
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.09579
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.07434
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.05896
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.04545
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.2503
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.83432
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.895273
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.17343
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.976939
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.967946
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.960454
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.95446
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.949955
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.946939
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.94541
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.945364
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.946802
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.949728
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.954071
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.94294
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.885874
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.182934
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.504568
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.850492
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.212795
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.607546
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03917
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.26189
 (379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.21218
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.16829
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.13208
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.10394
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.08228
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.06722
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.0537
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.81983
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.79633
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.867234
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.951787
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.941305
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.932329
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.924849
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.918858
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.914302
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.911197
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.909568
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.909421
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.910754
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.913568
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.917862
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.908
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.896185
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.19406
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.516693
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.862547
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.225928
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.621844
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05489
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.27162
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.2255
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.1827
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.14636
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.11738
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.09587
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.07697
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.06344
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.78362
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.932612
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.955976
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.933721
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.922689
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.913157
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.905119
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.898571
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.893507
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.889923
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.887819
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.88719
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.888037
ş(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.890361
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.894161
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.874772
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.906407
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.205168
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.528718
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.874588
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.239042
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.636199
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07062
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51137
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.24345
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.20056
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.16656
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.13541
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.11346
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.09351
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.886765
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.886007
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.917839
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.927135
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.909044
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.892492
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.877466
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.28833
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.26903
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.27889
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.29031
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.30329
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.31785
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.334
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.35168
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.37098
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.17737
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.916603
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.216198
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.540676
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.886673
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.252163
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.650538
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08601
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53338
(379.83, 15.73, 278.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02889
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.22134
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.18839
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.897894
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.875115
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.86597
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.863444
(379.83, 15.73, 278.23) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.994802
